team,avgAdv_nxtGWs,#atts,#defs,Player1,Player2,Player3
NFO,7.5,0,3,"Sels (GKP, ?) ==> (3.0, 3.66667)","N.Williams (DEF, ?) ==> (1.0, 2.13841)","Milenković (DEF, ?) ==> (6.0, 2.0)"
LIV,6.25,3,0,"M.Salah (MID, ?) ==> (10.0, 12.58333)","Mac Allister (MID, ?) ==> (2.5, 2.0)","Gravenberch (MID, ?) ==> (2.0, 2.0)"
FUL,6.0,3,0,"Lukić (MID, ?) ==> (1.0, 2.13919)","Iwobi (MID, ?) ==> (3.0, 2.0)","Raúl (FWD, ?) ==> (2.0, 1.9408)"
MCI,5.25,2,1,"Kovačić (MID, ?) ==> (2.0, 2.0889)","Haaland (FWD, ?) ==> (5.0, 2.0)","Gvardiol (DEF, ?) ==> (2.0, 1.77778)"
CHE,4.0,2,1,"Palmer (MID, ?) ==> (6.0, 3.5)","Sánchez (GKP, ?) ==> (2.0, 2.82407)","Enzo (MID, ?) ==> (2.0, 2.0)"
NEW,2.25,1,2,"Isak (FWD, ?) ==> (7.0, 8.11111)","Schär (DEF, ?) ==> (2.0, 2.0)","Hall (DEF, ?) ==> (2.0, 1.63889)"
BHA,1.5,1,2,"Verbruggen (GKP, ?) ==> (2.0, 2.30556)","Mitoma (MID, ?) ==> (2.0, 2.04033)","Veltman (DEF, ?) ==> (1.0, 2.0)"
ARS,1.0,2,1,"Raya (GKP, ?) ==> (3.0, 2.16667)","Thomas (MID, ?) ==> (2.0, 2.0)","Rice (MID, ?) ==> (2.0, 2.0)"
CRY,0.5,0,3,"Henderson (GKP, ?) ==> (2.0, 2.73148)","Guéhi (DEF, ?) ==> (2.0, 1.63889)","Muñoz (DEF, ?) ==> (2.0, 1.63889)"
TOT,0.25,1,2,"Solanke (FWD, ?) ==> (2.0, 2.0)","Pedro Porro (DEF, ?) ==> (2.0, 1.52778)","Dragusin (DEF, ?) ==> (1.0, 1.45556)"
EVE,-0.25,0,3,"Pickford (GKP, ?) ==> (2.0, 2.5)","Branthwaite (DEF, ?) ==> (1.0, 2.0)","Young (DEF, ?) ==> (3.5, 1.75)"
WHU,-0.5,0,3,"Fabianski (GKP, ?) ==> (1.0, 1.67405)","Wan-Bissaka (DEF, ?) ==> (2.0, 1.58333)","Mavropanos (DEF, ?) ==> (1.0, 1.58333)"
AVL,-1.0,3,0,"Rogers (MID, ?) ==> (2.0, 2.0)","Tielemans (MID, ?) ==> (2.0, 2.0)","Watkins (FWD, ?) ==> (2.0, 1.79296)"
MUN,-1.5,1,2,"Onana (GKP, ?) ==> (2.0, 2.02778)","B.Fernandes (MID, ?) ==> (3.0, 2.0)","Mazraoui (DEF, ?) ==> (1.0, 1.41667)"
BOU,-2.25,1,2,"Arrizabalaga (GKP, ?) ==> (2.0, 2.51852)","Semenyo (MID, ?) ==> (3.0, 2.0)","Kerkez (DEF, ?) ==> (2.0, 1.38889)"
WOL,-4.0,2,1,"Strand Larsen (FWD, ?) ==> (2.0, 2.0)","J.Gomes (MID, ?) ==> (2.0, 1.82616)","José Sá (GKP, ?) ==> (1.0, 1.58333)"
IPS,-5.25,2,1,"Hutchinson (MID, ?) ==> (2.0, 2.0)","Greaves (DEF, ?) ==> (0.0, 2.0)","Delap (FWD, ?) ==> (2.0, 1.54516)"
LEI,-6.0,3,0,"Vardy (FWD, ?) ==> (2.0, 2.0)","Winks (MID, ?) ==> (2.0, 1.63397)","Mavididi (MID, ?) ==> (1.0, 1.2893)"
BRE,-6.25,3,0,"Mbeumo (MID, ?) ==> (5.0, 2.0)","Lewis-Potter (MID, ?) ==> (2.0, 2.0)","Nørgaard (MID, ?) ==> (2.0, 1.58351)"
SOU,-7.5,0,3,"Ramsdale (GKP, ?) ==> (2.0, 1.5)","Harwood-Bellis (DEF, ?) ==> (1.0, 1.16667)","Bednarek (DEF, ?) ==> (1.0, 1.16667)"
