att_rank,def_rank,(def-att)_rank,team,att_med_xPts,def_med_xPts,(att-def)_med_xPts,attAdv_nxtGWs,defAdv_nxtGWs,(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,(att-def)Adv_nxtGWs/#OfMatches_nxtGWs,#atts,#defs
14,3,-11,CHE,21.94427190999916,27.57294901687516,-5.628677106876001,-5,4,-9,1,-9.0,0,3
11,4,-7,EVE,27.909830056250527,22.92047317437663,4.989356881873896,-4,5,-9,1,-9.0,0,3
17,2,-15,CRY,20.954915028125264,28.392609129376208,-7.437694101250944,-6,0,-6,1,-6.0,0,3
1,5,4,MCI,33.76393202250021,18.281152949374526,15.48277907312568,0,6,-6,1,-6.0,0,3
16,11,-5,SUN,21.663118960624633,13.281152949374526,8.381966011250107,-4,-3,-1,1,-1.0,0,3
20,18,-2,WOL,14.809016994374947,11.809016994374947,3.0,-9,-8,-1,1,-1.0,1,2
2,1,-1,ARS,32.045084971874736,24.124611797498112,7.920473174376625,8,9,-1,1,-1.0,1,2
7,6,-1,AVL,30.29179606750063,17.76393202250021,12.52786404500042,3,4,-1,1,-1.0,1,2
13,14,1,WHU,23.100813061875577,14.819660112501051,8.281152949374526,-4,-3,-1,1,-1.0,1,2
6,8,2,NEW,31.291796067500627,15.190983005625053,16.100813061875574,3,4,-1,1,-1.0,1,2
19,16,-3,NFO,21.909830056250527,12.774575140626315,9.135254915624213,-4,-5,1,1,1.0,2,1
5,12,7,TOT,28.326237921249266,12.954915028125264,15.371322893124002,5,4,1,1,1.0,2,1
12,13,1,FUL,27.718847050625474,12.909830056250525,14.809016994374948,4,1,3,1,3.0,2,1
15,19,4,BUR,21.94427190999916,9.427050983124843,12.517220926874316,-1,-4,3,1,3.0,2,1
18,15,-3,BRE,18.854101966249686,12.809016994374947,6.04508497187474,1,-3,4,1,4.0,2,1
8,10,2,BOU,25.899186938124423,14.854101966249685,11.045084971874738,1,-3,4,1,4.0,3,0
4,9,5,MUN,28.572949016875157,15.045084971874736,13.52786404500042,3,-1,4,1,4.0,3,0
10,20,10,LEE,28.718847050625474,9.045084971874736,19.673762078750737,3,-1,4,1,4.0,3,0
3,7,4,BHA,29.045084971874736,15.76393202250021,13.281152949374526,7,1,6,1,6.0,3,0
9,17,8,LIV,29.0,12.145898033750315,16.854101966249686,-1,-7,6,1,6.0,3,0
