team,attAdv_nxtGWs,attPlayer1,attPlayer2,attPlayer3,attPlayer4,attPlayer5
ARS,8,"Merino (MID, ?) ==> (4.096, 6.615)","Saka (MID, ?) ==> (3.217, 4.402)","Rice (MID, ?) ==> (3.723, 4.315)","Zubimendi (MID, ?) ==> (3.983, 4.314)","Trossard (MID, ?) ==> (2.431, 3.944)"
BHA,7,"Wieffer (MID, ?) ==> (4.159, 4.882)","Minteh (MID, ?) ==> (3.182, 3.553)","Gomez (MID, ?) ==> (2.688, 3.375)","Georginio (MID, ?) ==> (2.505, 3.053)","Welbeck (FWD, ?) ==> (2.292, 2.782)"
TOT,5,"Richarlison (FWD, ?) ==> (3.241, 4.059)","Kudus (MID, ?) ==> (3.404, 3.859)","Bentancur (MID, ?) ==> (2.932, 3.687)","J.Palhinha (MID, ?) ==> (2.791, 3.25)","Kolo Muani (FWD, ?) ==> (1.187, 1.442)"
FUL,4,"Wilson (MID, ?) ==> (3.871, 4.731)","Sessegnon (MID, ?) ==> (3.571, 3.864)","Berge (MID, ?) ==> (3.532, 3.638)","Iwobi (MID, ?) ==> (2.913, 3.219)","Chukwueze (MID, ?) ==> (1.569, 2.093)"
MUN,3,"B.Fernandes (MID, ?) ==> (4.979, 5.496)","Casemiro (MID, ?) ==> (3.083, 3.475)","Amad (MID, ?) ==> (3.0, 3.09)","Mount (MID, ?) ==> (2.516, 3.071)","Zirkzee (FWD, ?) ==> (1.337, 1.493)"
NEW,3,"Bruno G. (MID, ?) ==> (4.793, 5.42)","Joelinton (MID, ?) ==> (3.346, 3.633)","Woltemade (FWD, ?) ==> (2.535, 2.749)","Gordon (MID, ?) ==> (1.805, 2.369)","Barnes (MID, ?) ==> (1.429, 1.692)"
AVL,3,"Kamara (MID, ?) ==> (3.746, 4.3)","Rogers (MID, ?) ==> (3.389, 3.498)","McGinn (MID, ?) ==> (2.282, 2.526)","Watkins (FWD, ?) ==> (2.222, 2.408)","Tielemans (MID, ?) ==> (1.948, 2.217)"
LEE,3,"Calvert-Lewin (FWD, ?) ==> (3.78, 4.124)","Ampadu (MID, ?) ==> (3.826, 4.035)","Stach (MID, ?) ==> (3.675, 3.954)","Tanaka (MID, ?) ==> (2.363, 2.997)","Nmecha (FWD, ?) ==> (1.905, 2.386)"
BOU,1,"Adams (MID, ?) ==> (3.344, 3.396)","Semenyo (MID, ?) ==> (3.039, 3.08)","Evanilson (FWD, ?) ==> (2.916, 3.055)","Tavernier (MID, ?) ==> (3.0, 3.041)","Scott (MID, ?) ==> (2.819, 2.934)"
BRE,1,"Thiago (FWD, ?) ==> (6.069, 6.451)","O.Dango (MID, ?) ==> (3.575, 3.735)","Henderson (MID, ?) ==> (3.42, 3.503)","Schade (MID, ?) ==> (2.993, 3.033)","Damsgaard (MID, ?) ==> (2.829, 2.923)"
MCI,0,"Foden (MID, ?) ==> (6.245, 6.245)","Haaland (FWD, ?) ==> (6.208, 6.208)","N.Gonzalez (MID, ?) ==> (3.261, 3.261)","Doku (MID, ?) ==> (2.451, 2.451)","Cherki (MID, ?) ==> (2.429, 2.429)"
LIV,-1,"Szoboszlai (MID, ?) ==> (3.405, 3.375)","Gravenberch (MID, ?) ==> (3.397, 3.367)","Gakpo (MID, ?) ==> (2.599, 2.556)","Mac Allister (MID, ?) ==> (2.516, 2.427)","Wirtz (MID, ?) ==> (2.38, 2.285)"
BUR,-1,"Florentino (MID, ?) ==> (3.312, 3.195)","Cullen (MID, ?) ==> (3.232, 3.174)","Ugochukwu (MID, ?) ==> (1.799, 1.707)","Flemming (FWD, ?) ==> (1.841, 1.689)","Tchaouna (MID, ?) ==> (1.385, 1.302)"
EVE,-4,"Dewsbury-Hall (MID, ?) ==> (6.215, 5.752)","Ndiaye (MID, ?) ==> (3.869, 3.727)","Garner (MID, ?) ==> (3.818, 3.684)","Grealish (MID, ?) ==> (3.513, 3.4)","Alcaraz (MID, ?) ==> (1.278, 0.852)"
WHU,-4,"Bowen (FWD, ?) ==> (3.103, 2.983)","M.Fernandes (MID, ?) ==> (3.277, 2.751)","Potts (MID, ?) ==> (1.898, 1.432)","Wilson (FWD, ?) ==> (1.395, 1.106)","Souček (MID, ?) ==> (1.12, 0.643)"
SUN,-4,"Xhaka (MID, ?) ==> (3.706, 3.572)","E.Le Fée (MID, ?) ==> (3.738, 3.165)","Sadiki (MID, ?) ==> (3.103, 2.983)","Talbi (MID, ?) ==> (1.582, 1.27)","Traoré (MID, ?) ==> (1.503, 1.127)"
NFO,-4,"Anderson (MID, ?) ==> (4.803, 4.5)","Gibbs-White (MID, ?) ==> (2.889, 2.685)","Sangaré (MID, ?) ==> (2.968, 2.483)","Igor Jesus (FWD, ?) ==> (1.804, 1.456)","Hutchinson (MID, ?) ==> (1.807, 1.273)"
CHE,-5,"Enzo (MID, ?) ==> (3.255, 2.981)","Neto (MID, ?) ==> (3.337, 2.362)","João Pedro (FWD, ?) ==> (2.573, 2.146)","Gittens (MID, ?) ==> (1.248, 0.555)","Andrey Santos (MID, ?) ==> (0.806, 0.358)"
CRY,-6,"Wharton (MID, ?) ==> (4.113, 3.046)","Kamada (MID, ?) ==> (3.37, 2.795)","Mateta (FWD, ?) ==> (2.561, 2.259)","Yeremy (MID, ?) ==> (2.607, 2.019)","Nketiah (FWD, ?) ==> (0.946, 0.533)"
WOL,-9,"André (MID, ?) ==> (3.818, 3.08)","Gomes (MID, ?) ==> (3.544, 2.766)","J.Arias (MID, ?) ==> (2.749, 2.022)","Strand Larsen (FWD, ?) ==> (2.237, 1.841)","Bellegarde (MID, ?) ==> (1.552, 0.844)"
