home_attAdv,home_defAdv,home_fplAdv,home_team,away_team,away_fplAdv,away_defAdv,away_attAdv
-5,1,-2,SOU,MUN,2,5,-1
7,6,6,BHA,IPS,-6,-7,-6
-2,-1,-2,CRY,LEI,2,2,1
-2,2,-2,FUL,WHU,2,2,-2
1,5,3,LIV,NFO,-3,-1,-5
5,1,2,MCI,BRE,-2,-5,-1
5,3,4,AVL,EVE,-4,-5,-3
5,-5,-1,BOU,CHE,1,-5,5
-2,0,-2,TOT,ARS,2,2,0
-5,-5,-6,WOL,NEW,6,5,5
3,-3,0,WHU,CHE,0,-3,3
5,2,3,AVL,WOL,-3,-5,-2
-4,1,-4,FUL,NEW,4,4,-1
3,1,2,LEI,EVE,-2,-3,-1
6,3,5,LIV,BOU,-5,-6,-3
-1,2,-1,SOU,IPS,1,1,-2
3,-1,1,TOT,BRE,-1,-3,1
-5,0,-3,CRY,MUN,3,5,0
0,3,2,BHA,NFO,-2,0,-3
0,2,-1,MCI,ARS,1,0,-2
-3,-2,-1,NEW,MCI,1,3,2
4,6,7,ARS,LEI,-7,-4,-6
2,0,1,BRE,WHU,-1,-2,0
1,-7,-3,CHE,BHA,3,-1,7
-1,0,0,EVE,CRY,0,1,0
-2,5,3,NFO,FUL,-3,2,-5
-7,-9,-8,WOL,LIV,8,7,9
-3,-4,-2,IPS,AVL,2,3,4
-4,-2,-4,MUN,TOT,4,4,2
3,3,3,BOU,SOU,-3,-3,-3
-9,-7,-9,CRY,LIV,9,9,7
3,9,8,ARS,SOU,-8,-3,-9
7,2,5,BRE,WOL,-5,-7,-2
0,-4,-2,LEI,BOU,2,0,4
3,5,5,MCI,FUL,-5,-3,-5
3,4,3,WHU,IPS,-3,-3,-4
-6,-5,-7,EVE,NEW,7,6,5
0,2,1,AVL,MUN,-1,0,-2
0,-3,-1,CHE,NFO,1,0,3
2,0,1,BHA,TOT,-1,-2,0
2,2,2,TOT,WHU,-2,-2,-2
-1,1,-1,FUL,AVL,1,1,-1
1,0,2,IPS,EVE,-2,-1,0
-2,-2,-3,MUN,BRE,3,2,2
-2,-1,-1,NEW,BHA,1,2,1
-2,0,-1,SOU,LEI,1,2,0
-3,-3,-5,BOU,ARS,5,3,3
-6,-9,-7,WOL,MCI,7,6,9
8,1,4,LIV,CHE,-4,-8,-1
2,8,6,NFO,CRY,-6,-2,-8
