att_rank,def_rank,diff=(def-att)_rank,team,att_xPts,def_xPts,avg_(att-def)_xPts/match,attAdv_nxtGWs,defAdv_nxtGWs,delta=(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,delta/#OfMatches_nxtGWs,#atts,#defs
14,4,-10,MUN,22.5433,23.9703,-1.4270000000000032,1,7,-6,1,-6.0,0,3
18,16,-2,CRY,18.6477,9.1893,9.458400000000001,-7,-1,-6,1,-6.0,0,3
19,11,-8,IPS,16.0348,17.0263,-0.9914999999999985,-1,4,-5,1,-5.0,0,3
20,17,-3,SOU,13.2691,10.0764,3.1927000000000003,-4,1,-5,1,-5.0,0,3
13,3,-10,NFO,25.3489,24.91,0.4389000000000003,-4,0,-4,1,-4.0,0,3
4,5,1,BHA,31.3574,16.5085,14.848899999999997,0,4,-4,1,-4.0,1,2
8,1,-7,ARS,26.2394,30.8124,-4.573,0,0,0,1,0.0,1,2
15,9,-6,WHU,22.3073,16.9533,5.354000000000003,-3,-3,0,1,0.0,1,2
7,7,0,NEW,26.4618,16.6265,9.8353,2,2,0,1,0.0,1,2
12,12,0,FUL,26.5696,12.5365,14.033100000000001,-2,-2,0,1,0.0,1,2
3,10,7,CHE,32.8701,15.455,17.415100000000002,3,3,0,1,0.0,2,1
1,8,7,MCI,34.4601,15.8591,18.601,0,0,0,1,0.0,2,1
2,2,0,LIV,34.5798,26.1961,8.383699999999997,6,4,2,1,2.0,2,1
10,13,3,BOU,25.573,9.691,15.882,-4,-6,2,1,2.0,2,1
9,6,-3,TOT,24.073,18.2691,5.803899999999999,3,0,3,1,3.0,2,1
6,15,9,BRE,26.6579,9.3888,17.2691,0,-3,3,1,3.0,3,0
17,19,2,WOL,21.9533,6.2691,15.684199999999999,-2,-7,5,1,5.0,3,0
16,20,4,EVE,22.1842,5.1129,17.0713,1,-4,5,1,5.0,3,0
11,18,7,LEI,25.0017,7.1944,17.807299999999998,4,-1,5,1,5.0,3,0
5,14,9,AVL,27.2742,11.0017,16.2725,7,2,5,1,5.0,3,0
