att_rank,att_tier,team,att_xPts,avg_GF/match,att_potential,attAdv_nxtGWs
5,3,AVL,27.2742,1.75,0.5387546,7
2,1,LIV,34.5798,1.75,1.3508582,6
11,6,LEI,25.0017,1.25,-0.0725484,4
3,2,CHE,32.8701,2.0,1.3401487,3
9,5,TOT,24.073,1.5,0.0035596,3
7,4,NEW,26.4618,1.5,0.2691029,2
14,7,MUN,22.5433,1.25,-0.3458286,1
16,8,EVE,22.1842,1.0,-0.5650906,1
1,1,MCI,34.4601,2.75,2.0549276,0
4,2,BHA,31.3574,1.5,0.8133065,0
6,3,BRE,26.6579,1.5,0.2909017,0
8,4,ARS,26.2394,1.5,0.2443804,0
19,10,IPS,16.0348,0.5,-1.6073567,-1
12,6,FUL,26.5696,1.0,-0.0776017,-2
17,9,WOL,21.9533,1.0,-0.5907578,-2
15,8,WHU,22.3073,1.25,-0.3720627,-3
10,5,BOU,25.573,1.25,-0.0090417,-4
13,7,NFO,25.3489,1.0,-0.2132969,-4
20,10,SOU,13.2691,0.25,-2.0941408,-4
18,9,CRY,18.6477,1.0,-0.9582143,-7
