id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,fplAdv_nxtGWs,fplAdv*xPts,defAdv_nxtGWs,defAdv*xPts,attAdv_nxtGWs,attAdv*xPts,avgAdv*xPts,#OfMatches_nxtGWs,tot_xPts,gw12Pts,gw13Pts,gw14Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
13,Eddie,Nketiah,FWD,ARS,49,^^^,"Nketiah (FWD, ^^^)",4.5,6.3,5.1,8,40.8,7,0.0,5,25.5,33.15,3,15.3,0,0,0,0,0,?
540,Declan,Rice,MID,ARS,44,~,"Rice (MID, ~)",4.0,5.7,4.567,8,36.536,7,0.0,5,22.835,29.6855,3,13.701,0,0,0,0,0,?
19,Bukayo,Saka,MID,ARS,66,~,"Saka (MID, ~)",6.6,4.3,5.833,8,46.664,7,0.0,5,29.165,37.914500000000004,3,17.499,0,0,0,0,0,?
113,David,Raya Martin,GKP,ARS,32,~,"Raya (GKP, ~)",4.6,3.3,4.167,8,33.336,7,29.168999999999997,5,0.0,31.252499999999998,3,12.501,0,0,0,0,0,?
20,William,Saliba,DEF,ARS,46,~,"Saliba (DEF, ~)",4.2,3.3,3.9,8,31.2,7,27.3,5,0.0,29.25,3,11.7,0,0,0,0,0,?
25,Takehiro,Tomiyasu,DEF,ARS,18,^^^,"Tomiyasu (DEF, ^^^)",2.0,3.3,2.433,8,19.464,7,17.031,5,0.0,18.2475,3,7.299,0,0,0,0,0,?
31,Oleksandr,Zinchenko,DEF,ARS,34,~,"Zinchenko (DEF, ~)",3.4,3.0,3.267,8,26.136,7,22.869,5,0.0,24.502499999999998,3,9.801,0,0,0,0,0,?
29,Benjamin,White,DEF,ARS,53,~,"White (DEF, ~)",4.8,2.7,4.1,8,32.8,7,28.699999999999996,5,0.0,30.749999999999996,3,12.3,0,0,0,0,0,?
26,Leandro,Trossard,MID,ARS,22,vv,"Trossard (MID, vv)",3.1,2.7,2.967,8,23.736,7,0.0,5,14.835,19.2855,3,8.901,0,0,0,0,0,?
4,Fábio,Ferreira Vieira,MID,ARS,23,^,"Fábio Vieira (MID, ^)",3.3,2.3,2.967,8,23.736,7,0.0,5,14.835,19.2855,3,8.901,0,0,0,0,0,?
12,Gabriel,Martinelli Silva,MID,ARS,29,~,"Martinelli (MID, ~)",3.2,2.3,2.9,8,23.2,7,0.0,5,14.5,18.85,3,8.7,0,0,0,0,0,?
22,Emile,Smith Rowe,MID,ARS,9,^^^,"Smith Rowe (MID, ^^^)",2.2,2.3,2.233,8,17.864,7,0.0,5,11.165000000000001,14.514500000000002,3,6.699,0,0,0,0,0,?
10,Jakub,Kiwior,DEF,ARS,8,^^^,"Kiwior (DEF, ^^^)",2.7,2.0,2.467,8,19.736,7,17.269000000000002,5,0.0,18.5025,3,7.401,0,0,0,0,0,?
6,Kai,Havertz,MID,ARS,24,~,"Havertz (MID, ~)",2.2,1.7,2.033,8,16.264,7,0.0,5,10.165,13.2145,3,6.099,0,0,0,0,0,?
3,Mohamed,Elneny,MID,ARS,4,^^^,"M.Elneny (MID, ^^^)",4.0,1.3,3.1,8,24.8,7,0.0,5,15.5,20.15,3,9.3,0,0,0,0,0,?
9,Jorge Luiz,Frello Filho,MID,ARS,11,~,"Jorginho (MID, ~)",1.4,1.3,1.367,8,10.936,7,0.0,5,6.835,8.8855,3,4.101,0,0,0,0,0,?
5,Gabriel,dos Santos Magalhães,DEF,ARS,27,vv,"Gabriel (DEF, vv)",3.0,1.0,2.333,8,18.664,7,16.331000000000003,5,0.0,17.497500000000002,3,6.999,0,0,0,0,0,?
14,Martin,Ødegaard,MID,ARS,48,vv,"Ødegaard (MID, vv)",5.3,0.7,3.767,8,30.136,7,0.0,5,18.835,24.485500000000002,3,11.301,0,0,0,0,0,?
8,Gabriel,Fernando de Jesus,FWD,ARS,18,vv,"G.Jesus (FWD, vv)",2.6,0.7,1.967,8,15.736,7,0.0,5,9.835,12.7855,3,5.901,0,0,0,0,0,?
578,Reiss,Nelson,MID,ARS,4,~,"Nelson (MID, ~)",1.0,0.3,0.767,8,6.136,7,0.0,5,3.835,4.9855,3,2.301,0,0,0,0,0,?
17,Aaron,Ramsdale,GKP,ARS,11,?,"Ramsdale (GKP, ?)",2.8,0.0,0.0,8,0.0,7,0.0,5,0.0,0.0,3,0.0,0,0,0,0,0,?
15,Thomas,Partey,MID,ARS,7,vv,"Thomas (MID, vv)",1.8,0.0,0.0,8,0.0,7,0.0,5,0.0,0.0,3,0.0,0,0,0,0,0,?
1,Folarin,Balogun,FWD,ARS,0,?,"Balogun (FWD, ?)",0.0,0.0,0.0,8,0.0,7,0.0,5,0.0,0.0,3,0.0,0,0,0,0,0,?
2,Cédric,Alves Soares,DEF,ARS,0,?,"Cédric (DEF, ?)",0.0,0.0,0.0,8,0.0,7,0.0,5,0.0,0.0,3,0.0,0,0,0,0,0,?
11,Marcus,Oliveira Alencar,MID,ARS,0,?,"Marquinhos (MID, ?)",0.0,0.0,0.0,8,0.0,7,0.0,5,0.0,0.0,3,0.0,0,0,0,0,0,?
16,Nicolas,Pépé,MID,ARS,0,?,"Pepe (MID, ?)",0.0,0.0,0.0,8,0.0,7,0.0,5,0.0,0.0,3,0.0,0,0,0,0,0,?
18,Rúnar Alex,Rúnarsson,GKP,ARS,0,?,"Rúnarsson (GKP, ?)",0.0,0.0,0.0,8,0.0,7,0.0,5,0.0,0.0,3,0.0,0,0,0,0,0,?
24,Kieran,Tierney,DEF,ARS,0,?,"Tierney (DEF, ?)",0.0,0.0,0.0,8,0.0,7,0.0,5,0.0,0.0,3,0.0,0,0,0,0,0,?
30,Granit,Xhaka,MID,ARS,0,?,"Xhaka (MID, ?)",0.0,0.0,0.0,8,0.0,7,0.0,5,0.0,0.0,3,0.0,0,0,0,0,0,?
585,Jurriën,Timber,DEF,ARS,0,?,"J.Timber (DEF, ?)",0.0,0.0,0.0,8,0.0,7,0.0,5,0.0,0.0,3,0.0,0,0,0,0,0,?
