def_rank,def_tier,team,avg_GF/match,avg_def_pts/match,"avg_CS/match-log(avg_GA/match,MP)",defAdv_nxtGWs
3,1,NEW,2.45455,22.81818,0.45455,8
4,1,CRY,0.90909,21.54545,0.38488239398793034,8
1,1,ARS,2.09091,20.81818,0.5382371067570249,7
2,1,MCI,2.54545,21.18182,0.4964470849207365,4
5,2,LIV,2.18182,19.18182,0.31247784924347244,2
8,2,BRE,1.72727,16.81818,0.17215671708498193,2
12,3,EVE,1.0,13.72727,0.052474236452539846,2
15,4,WHU,1.63636,13.54545,-0.15840697707441537,1
10,3,MUN,1.09091,17.0,0.11646939150426161,0
13,4,AVL,2.36364,16.27273,0.025559391504261647,0
16,4,BHA,2.18182,10.18182,-0.24931697707441536,0
6,2,TOT,2.09091,20.81818,0.2939723939879303,-1
9,3,NFO,1.09091,18.18182,0.1433842364525398,-1
7,2,CHE,1.54545,18.0,0.23644308984604995,-3
11,3,FUL,0.81818,14.63636,0.09118949028081111,-3
14,4,WOL,1.27273,11.27273,-0.13701577041183044,-3
20,5,SHU,0.81818,7.90909,-0.41840906074785367,-4
19,5,BUR,0.72727,6.90909,-0.3744715022554699,-5
17,5,LUT,0.90909,12.27273,-0.2696642743616748,-6
18,5,BOU,0.81818,9.36364,-0.2835615022554699,-8
