home_attAdv,home_defAdv,home_fplAdv,home_team,away_team,away_fplAdv,away_defAdv,away_attAdv
-1,-2,-2,WOL,TOT,2,1,2
3,4,4,ARS,BUR,-4,-3,-4
-1,3,1,CRY,EVE,-1,1,-3
2,1,2,MUN,LUT,-2,-2,-1
-4,-4,-4,BOU,NEW,4,4,4
2,1,2,AVL,FUL,-2,-2,-1
4,1,2,BHA,SHU,-2,-4,-1
0,0,1,LIV,BRE,-1,0,0
0,0,-1,WHU,NFO,1,0,0
-2,-1,-1,CHE,MCI,1,2,1
1,1,0,MCI,LIV,0,-1,-1
-1,-2,-1,BUR,WHU,1,1,2
-3,-1,-2,LUT,CRY,2,3,1
1,2,1,NEW,CHE,-1,-1,-2
0,-2,0,NFO,BHA,0,0,2
0,0,0,SHU,BOU,0,0,0
-1,0,-1,BRE,ARS,1,1,0
2,-1,0,TOT,AVL,0,-2,1
-1,0,-1,EVE,MUN,1,1,0
-1,0,0,FUL,WOL,0,1,0
2,2,3,ARS,WOL,-3,-2,-2
3,2,3,BRE,LUT,-3,-3,-2
0,0,0,BUR,SHU,0,0,0
-1,1,1,NFO,EVE,-1,1,-1
2,2,2,NEW,MUN,-2,-2,-2
-1,-4,-3,BOU,AVL,3,1,4
1,-1,1,CHE,BHA,-1,-1,1
1,3,3,LIV,FUL,-3,-1,-3
-2,0,-1,WHU,CRY,1,2,0
1,1,1,MCI,TOT,-1,-1,-1
