fpl_rank,fpl_tier,team,form,avg_pts/match,xPts,fplAdv_nxtGWs
3,1,ARS,50.5,53.36364,52.79091,8
2,1,NEW,57.5,54.0,54.7,7
7,2,AVL,43.8,47.36364,46.65091,5
4,1,LIV,63.9,49.27273,52.19818,4
10,3,CRY,35.4,42.0,40.68,4
1,1,MCI,66.5,55.18182,57.44546,2
11,3,NFO,45.5,38.72727,40.08182,2
5,2,BRE,61.8,45.18182,48.50546,1
6,2,TOT,42.699999999999996,49.54545,48.17636,1
9,3,MUN,44.0,40.27273,41.01818,1
12,3,BHA,32.2,40.72727,39.02182,1
8,2,CHE,38.6,42.72727,41.90182,-1
13,4,WHU,25.2,38.90909,36.16727,-1
20,5,SHU,26.3,23.54545,24.09636,-2
15,4,EVE,34.199999999999996,33.27273,33.45818,-3
14,4,FUL,27.2,36.36364,34.53091,-5
16,4,WOL,33.5,32.81818,32.95454,-5
19,5,BUR,22.7,25.72727,25.12182,-5
17,5,LUT,31.0,29.54545,29.83636,-7
18,5,BOU,26.3,29.0,28.46,-7
