att_rank,def_rank,diff=(def-att)_rank,team,avg_att_pts/match,avg_def_pts/match,avg_(att-def)_pts/match,attAdv_nxtGWs,defAdv_nxtGWs,delta=(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,delta/#OfMatches_nxtGWs,#atts,#defs
15,4,-11,CRY,20.45455,21.54545,-1.0908999999999978,0,8,-8,3,-2.67,0,3
14,12,-2,EVE,19.54545,13.72727,5.818179999999998,-5,2,-7,3,-2.33,0,3
17,11,-6,FUL,21.72727,14.63636,7.090910000000001,-5,-3,-2,3,-0.67,0,3
6,1,-5,ARS,32.54545,20.81818,11.72727,5,7,-2,3,-0.67,0,3
5,5,0,LIV,30.09091,19.18182,10.909090000000003,0,2,-2,3,-0.67,0,3
2,3,1,NEW,31.18182,22.81818,8.363639999999997,7,8,-1,3,-0.33,1,2
1,2,1,MCI,34.0,21.18182,12.818180000000002,3,4,-1,3,-0.33,1,2
9,15,6,WHU,25.36364,13.54545,11.81819,0,1,-1,3,-0.33,1,2
13,9,-4,NFO,20.54545,18.18182,2.3636300000000006,-1,-1,0,3,0.0,1,2
10,7,-3,CHE,24.72727,18.0,6.727270000000001,-3,-3,0,3,0.0,1,2
12,10,-2,MUN,23.27273,17.0,6.272729999999999,0,0,0,3,0.0,2,1
20,19,-1,BUR,18.81818,6.90909,11.909090000000003,-5,-5,0,3,0.0,2,1
8,8,0,BRE,28.36364,16.81818,11.545459999999999,2,2,0,3,0.0,2,1
16,17,1,LUT,17.27273,12.27273,5.0,-6,-6,0,3,0.0,2,1
11,14,3,WOL,21.54545,11.27273,10.27272,-3,-3,0,3,0.0,2,1
18,18,0,BOU,19.63636,9.36364,10.27272,-5,-8,3,3,1.0,3,0
19,20,1,SHU,15.63636,7.90909,7.72727,-1,-4,3,3,1.0,3,0
7,6,-1,TOT,28.72727,20.81818,7.909089999999999,3,-1,4,3,1.33,3,0
3,13,10,AVL,31.09091,16.27273,14.818180000000002,7,0,7,3,2.33,3,0
4,16,12,BHA,30.54545,10.18182,20.36363,7,0,7,3,2.33,3,0
