team,fplAdv_nxtGWs,fplPlayer1,fplPlayer2,fplPlayer3,fplPlayer4,fplPlayer5
ARS,8,"Saka (MID, ~) ==> (5.833, 46.664)","Nketiah (FWD, ^^^) ==> (5.1, 40.8)","Rice (MID, ~) ==> (4.567, 36.536)","Raya (GKP, ~) ==> (4.167, 33.336)","Saliba (DEF, ~) ==> (3.9, 31.2)"
NEW,7,"Trippier (DEF, v) ==> (6.233, 43.631)","Gordon (MID, ~) ==> (5.5, 38.5)","Wilson (FWD, ^^^) ==> (5.4, 37.8)","J.Murphy (MID, vv) ==> (5.2, 36.4)","Schär (DEF, ~) ==> (4.5, 31.5)"
AVL,5,"Douglas Luiz (MID, ~) ==> (6.2, 31.0)","Watkins (FWD, vv) ==> (6.133, 30.665)","Diaby (MID, ^^) ==> (5.5, 27.5)","McGinn (MID, ^) ==> (4.133, 20.665)","Bailey (MID, ~) ==> (3.767, 18.835)"
LIV,4,"Salah (MID, v) ==> (8.033, 32.132)","A.Becker (GKP, ^) ==> (5.333, 21.332)","Darwin (FWD, ^) ==> (5.033, 20.132)","Szoboszlai (MID, ^^^) ==> (4.867, 19.468)","Virgil (DEF, ^) ==> (4.1, 16.4)"
CRY,4,"Mitchell (DEF, ^^^) ==> (4.667, 18.668)","Andersen (DEF, ~) ==> (4.5, 18.0)","Johnstone (GKP, ~) ==> (4.233, 16.932)","J.Ayew (MID, ^^) ==> (3.633, 14.532)","Guéhi (DEF, ~) ==> (3.4, 13.6)"
MCI,2,"Haaland (FWD, ^) ==> (7.633, 15.266)","Doku (MID, ^^^) ==> (6.833, 13.666)","Bernardo (MID, ^^^) ==> (6.033, 12.066)","J.Alvarez (FWD, vv) ==> (5.1, 10.2)","Foden (MID, ^^) ==> (4.867, 9.734)"
NFO,2,"Toffolo (DEF, ^^^) ==> (5.5, 11.0)","Odysseas (GKP, ^^^) ==> (5.433, 10.866)","Aina (DEF, ^^^) ==> (3.767, 7.534)","Elanga (MID, ~) ==> (3.567, 7.134)","Wood (FWD, vv) ==> (3.5, 7.0)"
BRE,1,"Mbeumo (MID, ^) ==> (7.9, 7.9)","Pinnock (DEF, ^^^) ==> (4.967, 4.967)","Collins (DEF, ^^^) ==> (4.767, 4.767)","Wissa (FWD, v) ==> (4.133, 4.133)","Maupay (FWD, ^^^) ==> (3.5, 3.5)"
TOT,1,"Son (MID, ~) ==> (7.767, 7.767)","Maddison (MID, v) ==> (5.567, 5.567)","Kulusevski (MID, ^) ==> (4.1, 4.1)","Vicario (GKP, v) ==> (3.9, 3.9)","Van de Ven (DEF, vv) ==> (3.6, 3.6)"
MUN,1,"B.Fernandes (MID, ^) ==> (5.233, 5.233)","Dalot (DEF, ~) ==> (4.133, 4.133)","McTominay (MID, v) ==> (4.067, 4.067)","Wan-Bissaka (DEF, ^^^) ==> (3.433, 3.433)","Onana (GKP, ^) ==> (3.367, 3.367)"
BHA,1,"Mitoma (MID, ~) ==> (4.233, 4.233)","Gross (MID, ~) ==> (3.9, 3.9)","Ferguson (FWD, ^^) ==> (3.8, 3.8)","Adingra (MID, ~) ==> (2.6, 2.6)","Ansu Fati (MID, vv) ==> (2.6, 2.6)"
CHE,-1,"Palmer (MID, ~) ==> (5.3, -0.189)","N.Jackson (FWD, ^^^) ==> (4.567, -0.219)","Sterling (MID, ~) ==> (4.267, -0.234)","Gallagher (MID, ~) ==> (3.7, -0.27)","Mudryk (MID, vv) ==> (3.7, -0.27)"
WHU,-1,"Bowen (MID, ~) ==> (5.967, -0.168)","Ward-Prowse (MID, v) ==> (3.533, -0.283)","Kudus (MID, ^^^) ==> (3.433, -0.291)","Antonio (FWD, ~) ==> (3.167, -0.316)","Areola (GKP, v) ==> (2.9, -0.345)"
