team,fplAdv_nxtGWs,fplPlayer1,fplPlayer2,fplPlayer3,fplPlayer4,fplPlayer5
ARS,8,"Gabriel (DEF, ?) ==> (6.752, 6.377)","Saka (MID, ?) ==> (5.709, 5.392)","Martinelli (MID, ?) ==> (5.558, 5.249)","Raya (GKP, ?) ==> (5.297, 5.003)","Havertz (FWD, ?) ==> (4.557, 4.304)"
LIV,6,"M.Salah (MID, ?) ==> (8.369, 6.974)","Luis Díaz (MID, ?) ==> (8.133, 6.778)","Konaté (DEF, ?) ==> (5.37, 4.475)","Alexander-Arnold (DEF, ?) ==> (5.042, 4.201)","Virgil (DEF, ?) ==> (4.145, 3.454)"
CHE,4,"Palmer (MID, ?) ==> (10.867, 7.848)","N.Jackson (FWD, ?) ==> (6.909, 4.99)","Sánchez (GKP, ?) ==> (6.734, 4.863)","Madueke (MID, ?) ==> (4.812, 3.476)","Sancho (MID, ?) ==> (3.673, 2.652)"
NEW,3,"Barnes (MID, ?) ==> (6.164, 4.11)","Gordon (MID, ?) ==> (4.527, 3.018)","Pope (GKP, ?) ==> (3.721, 2.481)","Bruno G. (MID, ?) ==> (2.909, 1.939)","J.Murphy (MID, ?) ==> (2.218, 1.478)"
BRE,3,"Mbeumo (MID, ?) ==> (6.836, 4.557)","Wissa (FWD, ?) ==> (3.763, 2.508)","Flekken (GKP, ?) ==> (2.63, 1.753)","Carvalho (MID, ?) ==> (2.382, 1.588)","Lewis-Potter (MID, ?) ==> (2.267, 1.512)"
TOT,2,"Johnson (MID, ?) ==> (5.546, 3.389)","Maddison (MID, ?) ==> (5.164, 3.156)","Son (MID, ?) ==> (4.927, 3.011)","Kulusevski (MID, ?) ==> (4.164, 2.545)","Van de Ven (DEF, ?) ==> (4.115, 2.514)"
BOU,2,"Semenyo (MID, ?) ==> (4.248, 2.596)","Cook (MID, ?) ==> (3.794, 2.319)","Tavernier (MID, ?) ==> (3.412, 2.085)","Evanilson (FWD, ?) ==> (2.958, 1.808)","O.Dango (MID, ?) ==> (2.794, 1.707)"
AVL,1,"Watkins (FWD, ?) ==> (7.837, 4.354)","Rogers (MID, ?) ==> (4.982, 2.768)","Duran (FWD, ?) ==> (4.206, 2.337)","Tielemans (MID, ?) ==> (3.103, 1.724)","Konsa (DEF, ?) ==> (3.061, 1.701)"
IPS,1,"Delap (FWD, ?) ==> (4.37, 2.428)","Muric (GKP, ?) ==> (3.546, 1.97)","Morsy (MID, ?) ==> (3.176, 1.764)","Davis (DEF, ?) ==> (3.115, 1.73)","Hutchinson (MID, ?) ==> (2.588, 1.438)"
MCI,0,"Haaland (FWD, ?) ==> (9.751, 4.876)","Gvardiol (DEF, ?) ==> (3.679, 1.84)","Ederson M. (GKP, ?) ==> (3.309, 1.655)","Sávio (MID, ?) ==> (3.103, 1.552)","Kovačić (MID, ?) ==> (3.042, 1.521)"
