att_rank,att_tier,team,"avg_CS/match-log(avg_GA/match,MP)",avg_att_pts/match,avg_GF/match,attAdv_nxtGWs
2,1,AVL,0.05486264063379903,32.22222,2.55556,6
4,1,LIV,0.22222,29.44444,2.22222,6
3,1,BHA,-0.31546487678572877,32.11111,2.44444,4
1,1,NEW,0.44444,32.44444,2.66667,3
6,2,MCI,0.4477068250793942,30.22222,2.11111,3
8,2,WHU,-0.15075007604207596,26.66667,1.77778,3
7,2,ARS,0.4980448007436528,32.44444,2.0,2
14,4,EVE,-0.08997805170633456,19.55556,1.0,1
5,2,TOT,0.4980448007436528,29.22222,2.22222,0
9,3,BRE,0.09129138422899813,28.22222,1.55556,0
12,3,WOL,-0.12137767059728001,21.0,1.22222,0
15,4,FUL,0.10084232940272,22.11111,0.88889,0
10,3,CHE,0.33333,23.66667,1.44444,-2
11,3,MUN,0.05486264063379903,23.77778,1.22222,-3
13,4,NFO,0.09129138422899813,21.44444,1.11111,-3
16,4,LUT,-0.2894512292986238,17.66667,0.88889,-3
17,5,CRY,0.35311165816888923,20.0,0.77778,-4
18,5,BUR,-0.42702570661181827,19.66667,0.77778,-4
20,5,BOU,-0.2523060588105802,19.22222,0.66667,-4
19,5,SHU,-0.44639519925634724,14.66667,0.77778,-5
