team,avgAdv_nxtGWs,#atts,#defs,Player1,Player2,Player3
AVL,5.0,3,0,"Watkins (FWD, ?) ==> (9.533, 61.9645)","Douglas Luiz (MID, ?) ==> (6.367, 41.3855)","Diaby (MID, ?) ==> (4.6, 29.9)"
LIV,5.0,2,1,"Salah (MID, ?) ==> (9.1, 50.05)","Darwin (FWD, ?) ==> (4.067, 22.3685)","A.Becker (GKP, ?) ==> (4.1, 18.45)"
MCI,4.33,1,2,"J.Alvarez (FWD, ?) ==> (6.3, 22.05)","R.Lewis (DEF, ?) ==> (3.0, 15.0)","Walker (DEF, ?) ==> (2.9, 14.5)"
ARS,3.33,1,2,"White (DEF, ?) ==> (5.9, 23.6)","Saka (MID, ?) ==> (6.367, 19.101)","Raya (GKP, ?) ==> (4.767, 19.068)"
NEW,3.0,2,1,"Trippier (DEF, ?) ==> (7.5, 22.5)","J.Murphy (MID, ?) ==> (5.967, 17.901)","Isak (FWD, ?) ==> (5.9, 17.7)"
TOT,3.0,0,3,"Van de Ven (DEF, ?) ==> (5.5, 24.75)","Pedro Porro (DEF, ?) ==> (5.3, 23.85)","Romero (DEF, ?) ==> (5.167, 23.2515)"
BHA,1.33,3,0,"March (MID, ?) ==> (4.833, 14.499)","Mitoma (MID, ?) ==> (3.833, 11.499)","Ansu Fati (MID, ?) ==> (3.433, 10.299)"
WHU,0.67,3,0,"Bowen (MID, ?) ==> (6.367, 9.5505)","Souček (MID, ?) ==> (4.6, 6.9)","Ward-Prowse (MID, ?) ==> (4.167, 6.2505)"
BRE,0.0,2,1,"Mbeumo (MID, ?) ==> (6.0, 3.0)","Jensen (MID, ?) ==> (5.533, 2.7665)","Flekken (GKP, ?) ==> (2.967, 1.31498)"
CRY,-0.33,0,3,"Andersen (DEF, ?) ==> (6.133, 9.1995)","Johnstone (GKP, ?) ==> (4.967, 7.4505)","Guéhi (DEF, ?) ==> (4.7, 7.05)"
CHE,-0.67,0,3,"Colwill (DEF, ?) ==> (4.2, 1.98095)","Sanchez (GKP, ?) ==> (3.767, 1.75077)","Disasi (DEF, ?) ==> (3.7, 1.71486)"
FUL,-0.67,1,2,"De Cordova-Reid (MID, ?) ==> (3.633, -0.27525)","Leno (GKP, ?) ==> (3.5, -0.28571)","Ream (DEF, ?) ==> (2.833, -0.35298)"
MUN,-1.0,1,2,"Dalot (DEF, ?) ==> (3.733, 0.0)","Evans (DEF, ?) ==> (2.867, 0.0)","McTominay (MID, ?) ==> (5.467, -0.27437)"
WOL,-1.33,2,1,"Hee Chan (MID, ?) ==> (5.567, -0.17963)","Neto (MID, ?) ==> (4.9, -0.20408)","José Sá (GKP, ?) ==> (3.5, -0.57143)"
EVE,-2.0,3,0,"Harrison (MID, ?) ==> (5.3, 2.46132)","A.Doucoure (MID, ?) ==> (4.3, 1.91744)","Garner (MID, ?) ==> (3.333, 1.36647)"
BUR,-2.0,0,3,"Trafford (GKP, ?) ==> (2.0, -0.5)","Al-Dakhil (DEF, ?) ==> (0.933, -1.07181)","Roberts (DEF, ?) ==> (0.867, -1.1534)"
BOU,-2.67,0,3,"Neto (GKP, ?) ==> (2.633, -0.75959)","Kerkez (DEF, ?) ==> (1.367, -1.46306)","Aarons (DEF, ?) ==> (1.167, -1.7138)"
NFO,-4.0,2,1,"Dominguez (MID, ?) ==> (4.767, -0.8391)","Wood (FWD, ?) ==> (3.833, -1.04357)","Boly (DEF, ?) ==> (4.3, -1.04651)"
SHU,-5.0,1,2,"Hamer (MID, ?) ==> (3.0, -1.66667)","Bogle (DEF, ?) ==> (2.8, -1.78571)","Foderingham (GKP, ?) ==> (1.967, -2.54194)"
LUT,-6.0,3,0,"Townsend (MID, ?) ==> (4.0, -1.25)","Morris (FWD, ?) ==> (3.933, -1.27129)","Adebayo (FWD, ?) ==> (3.0, -1.66667)"
