id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,fplAdv_nxtGWs,fplAdv*xPts,defAdv_nxtGWs,defAdv*xPts,attAdv_nxtGWs,attAdv*xPts,avgAdv*xPts,#OfMatches_nxtGWs,tot_xPts,gw10Pts,gw11Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
29,Benjamin,White,DEF,ARS,45,?,"White (DEF, ?)",5.0,7.7,5.9,4,23.6,4,23.6,2,0.0,23.6,2,11.8,6,2,8,0.67797,~
14,Martin,Ødegaard,MID,ARS,48,?,"Ødegaard (MID, ?)",5.3,7.3,5.967,4,23.868,4,0.0,2,11.934,17.901,2,11.934,0,0,0,0.0,vv
540,Declan,Rice,MID,ARS,36,?,"Rice (MID, ?)",4.0,5.0,4.333,4,17.332,4,0.0,2,8.666,12.999,2,8.666,6,2,8,0.92315,~
5,Gabriel,dos Santos Magalhães,DEF,ARS,25,?,"Gabriel (DEF, ?)",3.1,5.0,3.733,4,14.932,4,14.932,2,0.0,14.932,2,7.466,0,2,2,0.26788,vv
19,Bukayo,Saka,MID,ARS,58,?,"Saka (MID, ?)",7.2,4.7,6.367,4,25.468,4,0.0,2,12.734,19.101,2,12.734,6,2,8,0.62824,~
113,David,Raya Martin,GKP,ARS,24,?,"Raya (GKP, ?)",4.8,4.7,4.767,4,19.068,4,19.068,2,0.0,19.068,2,9.534,6,2,8,0.8391,~
20,William,Saliba,DEF,ARS,37,?,"Saliba (DEF, ?)",4.1,4.7,4.3,4,17.2,4,17.2,2,0.0,17.2,2,8.6,7,2,9,1.04651,~
31,Oleksandr,Zinchenko,DEF,ARS,25,?,"Zinchenko (DEF, ?)",3.1,4.3,3.5,4,14.0,4,14.0,2,0.0,14.0,2,7.0,8,1,9,1.28571,~
6,Kai,Havertz,MID,ARS,20,?,"Havertz (MID, ?)",2.2,4.0,2.8,4,11.2,4,0.0,2,5.6,8.399999999999999,2,5.6,3,1,4,0.71429,~
12,Gabriel,Martinelli Silva,MID,ARS,24,?,"Martinelli (MID, ?)",3.4,2.7,3.167,4,12.668,4,0.0,2,6.334,9.501,2,6.334,3,2,5,0.78939,~
8,Gabriel,Fernando de Jesus,FWD,ARS,18,?,"G.Jesus (FWD, ?)",2.6,2.7,2.633,4,10.532,4,0.0,2,5.266,7.899,2,5.266,0,0,0,0.0,vv
26,Leandro,Trossard,MID,ARS,20,?,"Trossard (MID, ?)",4.0,2.3,3.433,4,13.732,4,0.0,2,6.866,10.299,2,6.866,1,1,2,0.29129,vv
13,Eddie,Nketiah,FWD,ARS,30,?,"Nketiah (FWD, ?)",3.3,2.3,2.967,4,11.868,4,0.0,2,5.934,8.901,2,5.934,17,2,19,3.20189,^^^
9,Jorge Luiz,Frello Filho,MID,ARS,9,?,"Jorginho (MID, ?)",1.3,1.7,1.433,4,5.732,4,0.0,2,2.866,4.299,2,2.866,0,2,2,0.69784,~
25,Takehiro,Tomiyasu,DEF,ARS,9,?,"Tomiyasu (DEF, ?)",1.3,1.0,1.2,4,4.8,4,4.8,2,0.0,4.8,2,2.4,7,2,9,3.75,^^^
22,Emile,Smith Rowe,MID,ARS,3,?,"Smith Rowe (MID, ?)",1.0,0.7,0.9,4,3.6,4,0.0,2,1.8,2.7,2,1.8,6,0,6,3.33333,^^^
4,Fábio,Ferreira Vieira,MID,ARS,16,?,"Fábio Vieira (MID, ?)",3.2,0.3,2.233,4,8.932,4,0.0,2,4.466,6.699,2,4.466,6,1,7,1.5674,^
15,Thomas,Partey,MID,ARS,7,?,"Thomas (MID, ?)",1.8,0.3,1.3,4,5.2,4,0.0,2,2.6,3.9,2,2.6,0,0,0,0.0,vv
578,Reiss,Nelson,MID,ARS,3,?,"Nelson (MID, ?)",1.0,0.3,0.767,4,3.068,4,0.0,2,1.534,2.301,2,1.534,1,0,1,0.65189,~
17,Aaron,Ramsdale,GKP,ARS,11,?,"Ramsdale (GKP, ?)",2.8,0.0,0.0,4,0.0,4,0.0,2,0.0,0.0,2,0.0,0,0,0,,?
10,Jakub,Kiwior,DEF,ARS,2,?,"Kiwior (DEF, ?)",1.0,0.0,0.0,4,0.0,4,0.0,2,0.0,0.0,2,0.0,6,0,6,inf,^^^
