home_attAdv,home_defAdv,home_fplAdv,home_team,away_team,away_fplAdv,away_defAdv,away_attAdv
-4,0,-2,CRY,TOT,2,4,0
0,1,0,CHE,BRE,0,0,-1
3,4,4,ARS,SHU,-4,-3,-4
0,1,0,BOU,BUR,0,0,-1
-2,-3,-3,WOL,NEW,3,2,3
2,0,1,WHU,EVE,-1,-2,0
4,1,4,AVL,LUT,-4,-4,-1
1,-1,1,BHA,FUL,-1,-1,1
2,2,2,LIV,NFO,-2,-2,-2
-2,-1,-1,MUN,MCI,1,2,1
-1,1,-1,FUL,MUN,1,1,-1
1,-1,1,BRE,WHU,-1,-1,1
-3,0,-2,BUR,CRY,2,3,0
1,-3,-1,EVE,BHA,1,-1,3
2,4,3,MCI,BOU,-3,-2,-4
-1,-2,-1,SHU,WOL,1,1,2
0,1,0,NEW,ARS,0,0,-1
-1,-2,-3,NFO,AVL,3,1,2
-2,-4,-3,LUT,LIV,3,2,4
0,2,1,TOT,CHE,-1,0,-2
