fpl_rank,fpl_tier,team,form,avg_pts/match,xPts,fplAdv_nxtGWs
4,1,AVL,54.4,50.22222,51.05778,7
5,2,LIV,43.6,47.0,46.32,5
3,1,ARS,61.7,52.22222,54.11778,4
7,2,MCI,28.9,49.33333,45.24666,4
1,1,NEW,62.8,56.22222,57.53778,3
2,1,TOT,55.5,54.0,54.3,3
12,3,BHA,25.5,42.11111,38.78889,2
8,2,BRE,44.0,42.11111,42.48889,1
9,3,WHU,44.4,41.88889,42.39111,0
10,3,CRY,43.3,41.0,41.46,0
11,3,MUN,38.7,40.0,39.74,0
6,2,CHE,52.6,43.55556,45.36445,-1
14,4,FUL,28.0,37.77778,35.82222,-2
15,4,WOL,35.6,33.22222,33.69778,-2
16,4,EVE,38.7,30.88889,32.45111,-2
19,5,BUR,25.7,25.88889,25.85111,-2
18,5,BOU,20.3,29.44444,27.61555,-3
13,4,NFO,41.2,37.0,37.84,-5
20,5,SHU,22.0,22.77778,22.62222,-5
17,5,LUT,36.2,30.22222,31.41778,-7
