def_rank,def_tier,team,avg_GF/match,avg_def_pts/match,"avg_CS/match-log(avg_GA/match,MP)",defAdv_nxtGWs
1,1,TOT,2.22222,24.77778,0.4980448007436528,6
3,1,MCI,2.11111,19.11111,0.4477068250793942,6
2,1,ARS,2.0,19.77778,0.4980448007436528,4
7,2,LIV,2.22222,17.55556,0.22222,4
4,1,NEW,2.66667,23.77778,0.44444,3
5,2,CRY,0.77778,21.0,0.35311165816888923,3
11,3,AVL,2.55556,18.0,0.05486264063379903,2
6,2,CHE,1.44444,19.88889,0.33333,1
8,2,FUL,0.88889,15.66667,0.10084232940272,0
12,3,MUN,1.22222,16.22222,0.05486264063379903,0
19,5,BUR,0.77778,6.22222,-0.42702570661181827,0
10,3,BRE,1.55556,13.88889,0.09129138422899813,-1
15,4,WHU,1.77778,15.22222,-0.15075007604207596,-1
16,4,BOU,0.66667,10.22222,-0.2523060588105802,-1
14,4,WOL,1.22222,12.22222,-0.12137767059728001,-2
18,5,BHA,2.44444,10.0,-0.31546487678572877,-2
9,3,NFO,1.11111,15.55556,0.09129138422899813,-4
13,4,EVE,1.0,11.33333,-0.08997805170633456,-5
20,5,SHU,0.77778,8.11111,-0.44639519925634724,-5
17,5,LUT,0.88889,12.55556,-0.2894512292986238,-8
