att_rank,def_rank,diff=(def-att)_rank,team,avg_att_pts/match,avg_def_pts/match,avg_(att-def)_pts/match,attAdv_nxtGWs,defAdv_nxtGWs,delta=(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,delta/#OfMatches_nxtGWs,#atts,#defs
17,5,-12,CRY,20.0,21.0,-1.0,-4,3,-7,2,-3.5,0,3
5,1,-4,TOT,29.22222,24.77778,4.44444,0,6,-6,2,-3.0,0,3
18,19,1,BUR,19.66667,6.22222,13.44445,-4,0,-4,2,-2.0,0,3
10,6,-4,CHE,23.66667,19.88889,3.77778,-2,1,-3,2,-1.5,0,3
20,16,-4,BOU,19.22222,10.22222,9.0,-4,-1,-3,2,-1.5,0,3
6,3,-3,MCI,30.22222,19.11111,11.11111,3,6,-3,2,-1.5,1,2
11,12,1,MUN,23.77778,16.22222,7.55556,-3,0,-3,2,-1.5,1,2
7,2,-5,ARS,32.44444,19.77778,12.66666,2,4,-2,2,-1.0,1,2
15,8,-7,FUL,22.11111,15.66667,6.44444,0,0,0,2,0.0,1,2
19,20,1,SHU,14.66667,8.11111,6.55556,-5,-5,0,2,0.0,1,2
1,4,3,NEW,32.44444,23.77778,8.66666,3,3,0,2,0.0,2,1
13,9,-4,NFO,21.44444,15.55556,5.88888,-3,-4,1,2,0.5,2,1
9,10,1,BRE,28.22222,13.88889,14.33333,0,-1,1,2,0.5,2,1
12,14,2,WOL,21.0,12.22222,8.77778,0,-2,2,2,1.0,2,1
4,7,3,LIV,29.44444,17.55556,11.88888,6,4,2,2,1.0,2,1
8,15,7,WHU,26.66667,15.22222,11.44445,3,-1,4,2,2.0,3,0
2,11,9,AVL,32.22222,18.0,14.22222,6,2,4,2,2.0,3,0
16,17,1,LUT,17.66667,12.55556,5.11111,-3,-8,5,2,2.5,3,0
14,13,-1,EVE,19.55556,11.33333,8.22223,1,-5,6,2,3.0,3,0
3,18,15,BHA,32.11111,10.0,22.111109999999996,4,-2,6,2,3.0,3,0
