team,fplAdv_nxtGWs,fplPlayer1,fplPlayer2,fplPlayer3,fplPlayer4,fplPlayer5
AVL,11,"Bailey (MID, ?) ==> (7.5, 82.5)","McGinn (MID, ?) ==> (6.0, 66.0)","Watkins (FWD, ?) ==> (5.0, 55.0)","Diaby (MID, ?) ==> (5.0, 55.0)","Digne (DEF, ?) ==> (4.5, 49.5)"
MCI,10,"Rodrigo (MID, ?) ==> (8.0, 80.0)","Haaland (FWD, ?) ==> (7.5, 75.0)","Akanji (DEF, ?) ==> (6.5, 65.0)","J.Alvarez (FWD, ?) ==> (6.0, 60.0)","Ederson M. (GKP, ?) ==> (6.0, 60.0)"
BRE,10,"Mbeumo (MID, ?) ==> (11.5, 115.0)","Wissa (FWD, ?) ==> (10.0, 100.0)","Henry (DEF, ?) ==> (4.5, 45.0)","Flekken (GKP, ?) ==> (4.0, 40.0)","Pinnock (DEF, ?) ==> (4.0, 40.0)"
TOT,8,"Romero (DEF, ?) ==> (6.5, 52.0)","Maddison (MID, ?) ==> (6.0, 48.0)","Vicario (GKP, ?) ==> (6.0, 48.0)","Sarr (MID, ?) ==> (5.5, 44.0)","Pedro Porro (DEF, ?) ==> (5.0, 40.0)"
BHA,7,"March (MID, ?) ==> (12.0, 84.0)","Estupiñan (DEF, ?) ==> (9.0, 63.0)","Mitoma (MID, ?) ==> (8.5, 59.5)","Adingra (MID, ?) ==> (5.0, 35.0)","Enciso (MID, ?) ==> (4.0, 28.0)"
ARS,5,"Nketiah (FWD, ?) ==> (6.5, 32.5)","Ødegaard (MID, ?) ==> (6.5, 32.5)","Saka (MID, ?) ==> (6.5, 32.5)","Saliba (DEF, ?) ==> (6.5, 32.5)","Martinelli (MID, ?) ==> (4.0, 20.0)"
NEW,2,"Isak (FWD, ?) ==> (7.5, 15.0)","Barnes (MID, ?) ==> (5.5, 11.0)","Botman (DEF, ?) ==> (3.5, 7.0)","Tonali (MID, ?) ==> (3.5, 7.0)","J.Murphy (MID, ?) ==> (3.333, 6.666)"
WHU,1,"Ward-Prowse (MID, ?) ==> (9.0, 9.0)","Areola (GKP, ?) ==> (6.5, 6.5)","Bowen (MID, ?) ==> (5.5, 5.5)","Antonio (FWD, ?) ==> (5.0, 5.0)","Souček (MID, ?) ==> (4.5, 4.5)"
MUN,0,"R.Varane (DEF, ?) ==> (7.5, 0.0)","Wan-Bissaka (DEF, ?) ==> (6.5, 0.0)","Onana (GKP, ?) ==> (5.5, 0.0)","Shaw (DEF, ?) ==> (3.0, 0.0)","Mount (MID, ?) ==> (2.5, 0.0)"
CRY,-2,"Andersen (DEF, ?) ==> (5.5, -0.364)","Mitchell (DEF, ?) ==> (5.0, -0.4)","Edouard (FWD, ?) ==> (4.5, -0.444)","Guéhi (DEF, ?) ==> (4.0, -0.5)","Johnstone (GKP, ?) ==> (4.0, -0.5)"
FUL,-2,"Leno (GKP, ?) ==> (7.0, -0.286)","Diop (DEF, ?) ==> (4.5, -0.444)","De Cordova-Reid (MID, ?) ==> (4.0, -0.5)","Robinson (DEF, ?) ==> (3.5, -0.571)","Andreas (MID, ?) ==> (3.0, -0.667)"
LIV,-2,"Luis Díaz (MID, ?) ==> (7.5, -0.267)","Diogo J. (MID, ?) ==> (6.5, -0.308)","Salah (MID, ?) ==> (5.0, -0.4)","Szoboszlai (MID, ?) ==> (3.5, -0.571)","A.Becker (GKP, ?) ==> (2.5, -0.8)"
LUT,-2,"Morris (FWD, ?) ==> (8.0, -0.25)","Brown (FWD, ?) ==> (4.0, -0.5)","Kaminski (GKP, ?) ==> (3.0, -0.667)","Nakamba (MID, ?) ==> (2.0, -1.0)","Adebayo (FWD, ?) ==> (2.0, -1.0)"
NFO,-3,"Awoniyi (FWD, ?) ==> (7.0, -0.429)","Aurier (DEF, ?) ==> (5.5, -0.545)","Wood (FWD, ?) ==> (4.0, -0.75)","Elanga (MID, ?) ==> (2.5, -1.2)","Turner (GKP, ?) ==> (2.0, -1.5)"
CHE,-3,"Disasi (DEF, ?) ==> (5.5, -0.545)","Chilwell (DEF, ?) ==> (4.0, -0.75)","Chukwuemeka (MID, ?) ==> (3.0, -1.0)","Sanchez (GKP, ?) ==> (2.0, -1.5)","Gallagher (MID, ?) ==> (2.0, -1.5)"
WOL,-5,"Sarabia (MID, ?) ==> (3.5, -1.429)","Hee Chan (MID, ?) ==> (3.0, -1.667)","Cunha (FWD, ?) ==> (2.0, -2.5)","João Gomes (MID, ?) ==> (1.5, -3.333)","Lemina (MID, ?) ==> (1.5, -3.333)"
EVE,-7,"A.Doucoure (MID, ?) ==> (2.0, -3.5)","Garner (MID, ?) ==> (2.0, -3.5)","Onana (MID, ?) ==> (2.0, -3.5)","Iwobi (MID, ?) ==> (1.5, -4.667)","Maupay (FWD, ?) ==> (1.5, -4.667)"
BOU,-8,"Neto (GKP, ?) ==> (6.0, -1.333)","Solanke (FWD, ?) ==> (6.0, -1.333)","Semenyo (FWD, ?) ==> (5.0, -1.6)","Billing (MID, ?) ==> (2.0, -4.0)","Christie (MID, ?) ==> (2.0, -4.0)"
SHU,-10,"Hamer (MID, ?) ==> (6.0, -1.667)","Foderingham (GKP, ?) ==> (2.5, -4.0)","T.Bénie (FWD, ?) ==> (2.0, -5.0)","Basham (DEF, ?) ==> (1.5, -6.667)","Egan (DEF, ?) ==> (1.5, -6.667)"
BUR,-10,"Cullen (MID, ?) ==> (2.0, -5.0)","Foster (FWD, ?) ==> (2.0, -5.0)","Berge (MID, ?) ==> (2.0, -5.0)","Amdouni (FWD, ?) ==> (2.0, -5.0)","Trafford (GKP, ?) ==> (2.0, -5.0)"
