att_rank,def_rank,diff=(def-att)_rank,team,avg_GF/match,avg_GA/match,(avg_GF/match)-1/(avg_GA/match),attAdv_nxtGWs,defAdv_nxtGWs,delta=(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,delta/#OfMatches_nxtGWs,#atts,#defs
14,3,-11,CRY,0.5,0.5,-1.5,-6,7,-13,4,-3.25,0,3
16,7,-9,FUL,0.5,1.5,-0.16666666666666663,-8,5,-13,4,-3.25,0,3
9,2,-7,ARS,1.5,0.5,-0.5,-1,11,-12,4,-3.0,0,3
15,6,-9,MUN,0.5,1.0,-0.5,-3,4,-7,4,-1.75,0,3
5,1,-4,MCI,2.0,0.0,-inf,5,10,-5,4,-1.25,0,3
17,14,-3,SHU,0.5,1.5,-0.16666666666666663,-9,-6,-3,4,-0.75,1,2
19,18,-1,EVE,0.0,2.5,-0.4,-9,-6,-3,4,-0.75,1,2
6,5,-1,TOT,2.0,1.0,1.0,6,8,-2,4,-0.5,1,2
18,17,-1,WOL,0.5,2.5,0.09999999999999998,-6,-5,-1,4,-0.25,1,2
20,19,-1,BUR,0.0,3.0,-0.3333333333333333,-10,-10,0,4,0.0,1,2
2,4,2,BRE,2.5,1.0,1.5,9,9,0,4,0.0,2,1
10,13,3,NFO,1.5,1.5,0.8333333333333334,0,-2,2,4,0.5,2,1
4,8,4,AVL,2.5,2.5,2.1,9,6,3,4,0.75,2,1
13,20,7,LUT,1.0,4.0,0.75,-2,-6,4,4,1.0,2,1
11,15,4,BOU,1.0,2.0,0.5,-2,-9,7,4,1.75,2,1
7,11,4,WHU,2.0,1.0,1.0,4,-3,7,4,1.75,3,0
12,16,4,CHE,1.0,2.0,0.5,3,-5,8,4,2.0,3,0
8,12,4,LIV,2.0,1.0,1.0,5,-3,8,4,2.0,3,0
3,10,7,NEW,2.5,1.0,1.5,7,-3,10,4,2.5,3,0
1,9,8,BHA,4.0,1.0,3.0,8,-2,10,4,2.5,3,0
