id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,fplAdv_nxtGWs,fplAdv*xPts,defAdv_nxtGWs,defAdv*xPts,attAdv_nxtGWs,attAdv*xPts,avgAdv*xPts,#OfMatches_nxtGWs,tot_xPts,gw3Pts,gw4Pts,gw5Pts,gw6Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
22,Emile,Smith Rowe,MID,ARS,0,?,"Smith Rowe (MID, ?)",0.0,0.0,0.0,5,0.0,11,0.0,-1,-inf,-inf,4,0.0,0,0,0,0,0,0,?
23,Nuno,Varela Tavares,DEF,ARS,0,?,"Tavares (DEF, ?)",0.0,0.0,0.0,5,0.0,11,0.0,-1,0.0,0.0,4,0.0,0,0,0,0,0,0,?
24,Kieran,Tierney,DEF,ARS,0,?,"Tierney (DEF, ?)",0.0,0.0,0.0,5,0.0,11,0.0,-1,0.0,0.0,4,0.0,0,0,0,0,0,0,?
30,Granit,Xhaka,MID,ARS,0,?,"Xhaka (MID, ?)",0.0,0.0,0.0,5,0.0,11,0.0,-1,-inf,-inf,4,0.0,0,0,0,0,0,0,?
113,David,Raya Martin,GKP,ARS,0,?,"Raya (GKP, ?)",0.0,0.0,0.0,5,0.0,11,0.0,-1,0.0,0.0,4,0.0,0,0,0,0,0,0,?
578,Reiss,Nelson,MID,ARS,0,?,"Nelson (MID, ?)",0.0,0.0,0.0,5,0.0,11,0.0,-1,-inf,-inf,4,0.0,0,0,0,0,0,0,?
585,Jurriën,Timber,DEF,ARS,0,?,"J.Timber (DEF, ?)",0.0,0.0,0.0,5,0.0,11,0.0,-1,0.0,0.0,4,0.0,0,0,0,0,0,0,?
646,Karl,Hein,GKP,ARS,0,?,"Hein (GKP, ?)",0.0,0.0,0.0,5,0.0,11,0.0,-1,0.0,0.0,4,0.0,0,0,0,0,0,0,?
34,Leon,Bailey,MID,AVL,15,?,"Bailey (MID, ?)",7.5,7.5,7.5,11,82.5,6,0.0,9,67.5,75.0,4,30.0,0,0,0,0,0,0,?
50,John,McGinn,MID,AVL,12,?,"McGinn (MID, ?)",6.0,6.0,6.0,11,66.0,6,0.0,9,54.0,60.0,4,24.0,0,0,0,0,0,0,?
60,Ollie,Watkins,FWD,AVL,10,?,"Watkins (FWD, ?)",5.0,5.0,5.0,11,55.0,6,0.0,9,45.0,50.0,4,20.0,0,0,0,0,0,0,?
