avg_rank,avg_tier,team,rank_avg,tier_avg,avg_potential,avgAdv_nxtGWs
1,1,LIV,1.0,1.0,1.6695163150428332,28.5
4,2,BOU,5.75,3.0,0.9496708137286431,16.0
2,1,ARS,4.5,2.5,0.992402687454521,15.25
13,7,AVL,8.0,4.5,0.012910777696972551,13.75
6,3,CHE,10.25,5.25,0.5911079861945314,9.25
7,4,NFO,4.5,2.5,0.4022050129106638,5.0
10,5,FUL,7.25,4.0,0.15573363723168415,4.75
12,6,CRY,10.75,5.5,0.05146511425146476,3.5
5,3,NEW,5.75,3.0,0.7556825387473265,2.75
3,2,MCI,5.25,3.0,0.9852078498977122,0.25
8,4,BHA,9.75,5.0,0.22226078286470738,-0.25
14,7,MUN,11.75,6.25,-0.10845035626059844,-0.75
9,5,TOT,12.25,6.25,0.16782258621279056,-2.25
11,6,BRE,14.0,7.25,0.13908941312384623,-2.75
15,8,EVE,13.25,6.75,-0.4484860958236494,-3.0
16,8,WHU,14.0,7.25,-0.8522987013664844,-9.5
18,9,LEI,16.75,8.75,-1.2625164603798376,-14.75
19,10,IPS,18.5,9.5,-1.4826772784110194,-15.0
17,9,WOL,17.0,8.75,-1.1379149791694163,-24.5
20,10,SOU,19.75,10.0,-1.802731643942872,-26.25
