fpl_rank,fpl_tier,team,fpl_avg_xPts,fpl_med_xPts,avg_GD/match,med_GD/match,fpl_avg_potential,fpl_med_potential,fplAdv_nxtGWs
1,1,LIV,25.949821878095875,28.489356881873896,1.5,1.5,1.758022097172074,1.8394087154964436,28
6,3,BOU,21.068357212149532,18.07701432625305,0.6521739130434783,0.0,0.9817000602852894,0.39422665423330294,18
7,4,AVL,3.83697434070808,7.0,-0.043478260869565216,0.0,0.04912670423905713,0.1391805678229297,17
3,2,ARS,14.346887704496757,11.090169943749475,1.0,1.0,1.105214739247541,1.0369825382537123,16
8,4,CHE,7.03065644836888,4.281152949374527,0.6521739130434783,0.0,0.6679698483669194,0.07657964672936601,15
2,1,NFO,7.072855715542445,14.899186938124423,0.2608695652173913,1.0,0.36096268150257754,1.12468440889277,12
4,2,NEW,14.131019659905165,12.864745084375787,0.6086956521739131,1.0,0.7924399959351067,1.0778417834734728,7
11,6,MUN,0.2880106621208762,3.819660112501051,-0.17391304347826086,0.0,-0.1328395934173646,0.0659538645013502,3
12,6,CRY,6.518943683223039,9.458980337503153,-0.17391304347826086,0.0,0.006416255535186405,0.1957981087207764,2
5,3,MCI,21.72480506269324,16.358167275627572,0.7391304347826086,1.0,1.0648044861463193,1.1582771455485668,-1
9,5,FUL,3.9789003664132174,3.281152949374527,0.13043478260869565,0.0,0.18916541808115914,0.05355484249113554,-2
10,5,BHA,6.581606130978672,6.291796067500631,0.17391304347826086,0.0,0.2815502909594756,0.12287431091662249,-2
14,7,EVE,-10.280924540340862,-9.274575140626315,-0.4090909090909091,0.0,-0.5541271899809461,-0.23553833885117267,-3
15,8,BRE,3.679083637813788,-1.461492836873476,0.08695652173913043,0.0,0.14824808090055897,-0.05564364831092984,-5
13,7,WHU,-15.777460845327486,-9.448337219377049,-0.6956521739130435,0.0,-0.9024890678500754,-0.23953917669934802,-10
16,8,TOT,-1.7981106285749773,-7.673762078750736,0.391304347826087,-1.0,0.2653545142503152,-1.0023065396478237,-10
19,10,IPS,-31.378817058875068,-29.695048315002943,-1.1304347826086956,-1.0,-1.593332579162186,-1.5093423443181244,-16
17,9,LEI,-22.231832721780744,-23.920473174376628,-1.0434782608695652,-1.0,-1.3204721629149447,-1.3763838821454417,-17
18,9,WOL,-24.19892702171541,-28.31308230375284,-0.8695652173913043,-1.0,-1.2275681903520894,-1.4775228474445266,-25
20,10,SOU,-30.05572809000084,-24.47213595499958,-1.608695652173913,-1.0,-1.9401463889339734,-1.389085809673082,-27
