att_rank,def_rank,(def-att)_rank,team,att_med_xPts,def_med_xPts,(att-def)_med_xPts,attAdv_nxtGWs,defAdv_nxtGWs,(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,(att-def)Adv_nxtGWs/#OfMatches_nxtGWs,#atts,#defs
17,2,-15,CRY,22.100813061875577,19.201626123751154,2.899186938124423,-17,27,-44,5,-8.8,0,3
20,5,-15,EVE,17.809016994374947,11.927050983124843,5.881966011250103,-25,19,-44,6,-7.33333333333,0,3
11,3,-8,NFO,27.673762078750734,13.045084971874736,14.628677106875998,-10,6,-16,5,-3.2,0,3
13,12,-1,MUN,22.381966011250107,10.381966011250105,12.000000000000002,-12,3,-15,5,-3.0,0,3
8,4,-4,ARS,26.427050983124843,11.899186938124423,14.52786404500042,9,20,-11,5,-2.2,0,3
1,1,0,LIV,33.35410196624969,15.309016994374948,18.045084971874736,28,30,-2,6,-0.33333333333,1,2
9,10,1,BHA,25.76393202250021,10.809016994374947,14.954915028125264,1,2,-1,5,-0.2,1,2
18,18,0,IPS,17.47213595499958,6.663118960624632,10.809016994374947,-14,-14,0,5,0.0,1,2
19,20,1,SOU,14.190983005625053,10.618033988749895,3.5729490168751585,-25,-26,1,5,0.2,1,2
3,8,5,FUL,27.809016994374947,11.23606797749979,16.572949016875157,12,11,1,5,0.2,1,2
16,14,-2,WHU,19.47213595499958,8.23606797749979,11.23606797749979,-8,-10,2,5,0.4,2,1
15,17,2,WOL,18.94427190999916,9.23606797749979,9.70820393249937,-23,-25,2,5,0.4,2,1
7,11,4,AVL,26.80901699437495,11.52786404500042,15.28115294937453,14,7,7,5,1.4,2,1
5,6,1,BOU,31.201626123751158,14.673762078750736,16.52786404500042,18,10,8,5,1.6,2,1
12,13,1,CHE,24.618033988749893,9.76393202250021,14.854101966249683,8,-1,9,5,1.8,2,1
6,9,3,NEW,30.437694101250948,10.809016994374947,19.628677106876,3,-6,9,5,1.8,3,0
14,19,5,LEI,20.854101966249686,6.381966011250105,14.472135954999581,-8,-17,9,5,1.8,3,0
4,7,3,MCI,32.72949016875158,13.909830056250525,18.819660112501055,8,-5,13,5,2.6,3,0
10,16,6,BRE,28.33688103937537,10.954915028125264,17.381966011250107,9,-10,19,5,3.8,3,0
2,15,13,TOT,25.94427190999916,7.663118960624632,18.281152949374526,25,-14,39,5,7.8,3,0
