home_attAdv,home_defAdv,home_fplAdv,home_team,away_team,away_fplAdv,away_defAdv,away_attAdv
-1,3,4,NFO,BHA,-4,1,-3
-2,-2,-2,BOU,LIV,2,2,2
0,4,2,EVE,LEI,-2,0,-4
1,1,0,IPS,SOU,0,-1,-1
1,-3,3,NEW,FUL,-3,-1,3
-2,-5,-5,WOL,AVL,5,2,5
3,-7,0,BRE,TOT,0,-3,7
-6,3,0,MUN,CRY,0,6,-3
0,0,1,ARS,MCI,-1,0,0
1,1,3,CHE,WHU,-3,-1,-1
-9,-2,-6,EVE,LIV,6,9,2
2,1,-1,BHA,CHE,1,-2,-1
-5,-6,-7,LEI,ARS,7,5,6
5,3,6,AVL,IPS,-6,-5,-3
0,2,-4,FUL,NFO,4,0,-2
3,-1,-1,MCI,NEW,1,-3,1
-7,-7,-7,SOU,BOU,7,7,7
0,-2,1,WHU,BRE,-1,0,2
-6,9,1,CRY,EVE,-1,6,-9
8,7,8,LIV,WOL,-8,-8,-7
5,-1,-2,TOT,MUN,2,-5,1
1,-5,-1,LEI,BRE,1,-1,5
-4,4,-1,EVE,MUN,1,4,-4
3,6,5,ARS,WHU,-5,-3,-6
6,5,6,BOU,WOL,-6,-6,-5
-1,5,1,FUL,CRY,-1,1,-5
-1,-8,-2,IPS,TOT,2,1,8
-5,-5,-5,SOU,BHA,5,5,5
3,0,0,AVL,CHE,0,-3,0
-1,1,-1,NEW,NFO,1,1,-1
-1,-3,-2,MCI,LIV,2,1,3
-2,-2,-2,BHA,BOU,2,2,2
-3,3,-2,CRY,AVL,2,3,-3
-4,-7,-4,WOL,FUL,4,4,7
4,3,6,CHE,SOU,-6,-4,-3
-2,2,-1,BRE,EVE,1,2,-2
2,3,4,MUN,IPS,-4,-2,-3
-4,2,1,NFO,ARS,-1,4,-2
3,-6,-5,TOT,MCI,5,-3,6
4,2,1,LIV,NEW,-1,-4,-2
2,0,2,WHU,LEI,-2,-2,0
-2,0,2,NFO,MCI,-2,2,0
-1,-3,0,BHA,FUL,0,1,3
0,8,4,CRY,IPS,-4,0,-8
9,9,9,LIV,SOU,-9,-9,-9
1,-4,-4,BRE,AVL,4,-1,4
-5,1,-2,WOL,EVE,2,5,-1
4,0,5,CHE,LEI,-5,-4,0
2,-5,-5,TOT,BOU,5,-2,5
-5,-2,-4,MUN,ARS,4,5,2
-3,-4,-5,WHU,NEW,5,3,4
