team,avgAdv_nxtGWs,#atts,#defs,Player1,Player2,Player3
LIV,28.5,1,2,"M.Salah (MID, ?) ==> (10.0, 66.44444)","A.Becker (GKP, ?) ==> (1.5, 19.83333)","Virgil (DEF, ?) ==> (3.5, 17.05556)"
BOU,16.0,2,1,"Arrizabalaga (GKP, ?) ==> (2.0, 16.44444)","Semenyo (MID, ?) ==> (3.0, 14.0)","Cook (MID, ?) ==> (2.0, 12.0)"
ARS,15.25,0,3,"Raya (GKP, ?) ==> (3.0, 14.83333)","Gabriel (DEF, ?) ==> (2.0, 11.5)","Saliba (DEF, ?) ==> (2.0, 11.5)"
AVL,13.75,2,1,"Martinez (GKP, ?) ==> (2.0, 12.5)","Rogers (MID, ?) ==> (2.0, 11.72222)","Tielemans (MID, ?) ==> (2.0, 11.72222)"
CHE,9.25,2,1,"Palmer (MID, ?) ==> (6.0, 20.11111)","Sánchez (GKP, ?) ==> (2.0, 13.27778)","Enzo (MID, ?) ==> (2.0, 11.27778)"
NFO,5.0,0,3,"Sels (GKP, ?) ==> (3.0, 14.5)","Milenković (DEF, ?) ==> (5.0, 10.5)","Aina (DEF, ?) ==> (2.0, 9.5)"
FUL,4.75,1,2,"Leno (GKP, ?) ==> (3.0, 13.0)","Iwobi (MID, ?) ==> (2.0, 10.55556)","Robinson (DEF, ?) ==> (2.0, 8.5)"
CRY,3.5,0,3,"Henderson (GKP, ?) ==> (2.0, 14.11111)","Guéhi (DEF, ?) ==> (2.0, 10.72222)","Lacroix (DEF, ?) ==> (2.0, 10.72222)"
NEW,2.75,3,0,"Isak (FWD, ?) ==> (7.0, 37.77778)","Gordon (MID, ?) ==> (5.0, 10.96623)","Bruno G. (MID, ?) ==> (3.0, 10.55556)"
MCI,0.25,3,0,"Haaland (FWD, ?) ==> (5.0, 31.16667)","Kovačić (MID, ?) ==> (2.0, 9.57572)","Foden (MID, ?) ==> (2.0, 9.31224)"
BHA,-0.25,1,2,"Verbruggen (GKP, ?) ==> (2.0, 10.83333)","Mitoma (MID, ?) ==> (2.0, 9.82484)","Van Hecke (DEF, ?) ==> (1.0, 7.5)"
MUN,-0.75,0,3,"Onana (GKP, ?) ==> (2.0, 11.16667)","Martinez (DEF, ?) ==> (1.0, 7.83333)","Mazraoui (DEF, ?) ==> (1.0, 7.83333)"
TOT,-2.25,3,0,"Kulusevski (MID, ?) ==> (2.0, 10.83333)","Son (MID, ?) ==> (2.0, 10.52216)","Gray (MID, ?) ==> (1.0, 3.00125)"
BRE,-2.75,3,0,"Mbeumo (MID, ?) ==> (5.0, 10.66667)","Lewis-Potter (MID, ?) ==> (2.0, 10.22222)","Wissa (FWD, ?) ==> (2.0, 9.63127)"
EVE,-3.0,0,3,"Pickford (GKP, ?) ==> (2.0, 16.33333)","Branthwaite (DEF, ?) ==> (1.0, 12.88889)","Tarkowski (DEF, ?) ==> (2.0, 10.77778)"
WHU,-9.5,2,1,"Souček (MID, ?) ==> (2.0, 9.0)","Kudus (MID, ?) ==> (2.0, 8.41344)","Wan-Bissaka (DEF, ?) ==> (2.0, 6.38889)"
LEI,-14.75,3,0,"Winks (MID, ?) ==> (2.0, 9.29956)","Vardy (FWD, ?) ==> (2.0, 7.22222)","Mavididi (MID, ?) ==> (1.0, 6.43655)"
IPS,-15.0,1,2,"Hutchinson (MID, ?) ==> (2.0, 10.0)","Greaves (DEF, ?) ==> (0.0, 10.0)","O'Shea (DEF, ?) ==> (1.0, 5.83333)"
WOL,-24.5,2,1,"Strand Larsen (FWD, ?) ==> (2.0, 10.0)","José Sá (GKP, ?) ==> (1.0, 8.05556)","Cunha (FWD, ?) ==> (2.0, 7.33333)"
SOU,-26.25,1,2,"Ramsdale (GKP, ?) ==> (1.0, 7.88889)","M.Fernandes (MID, ?) ==> (2.0, 7.11111)","Bednarek (DEF, ?) ==> (1.0, 4.55556)"
