team,fplAdv_nxtGWs,fplPlayer1,fplPlayer2,fplPlayer3,fplPlayer4,fplPlayer5
LIV,13,"M.Salah (MID, ?) ==> (3.3, 5.683)","Diogo J. (MID, ?) ==> (2.6, 4.478)","Bradley (DEF, ?) ==> (2.25, 3.875)","Alexander-Arnold (DEF, ?) ==> (2.2, 3.789)","Luis Díaz (MID, ?) ==> (1.9, 3.272)"
NEW,12,"Isak (FWD, ?) ==> (2.85, 4.75)","Gordon (MID, ?) ==> (2.6, 4.333)","Bruno G. (MID, ?) ==> (2.05, 3.417)","Trippier (DEF, ?) ==> (2.0, 3.333)","J.Murphy (MID, ?) ==> (1.95, 3.25)"
MCI,11,"Haaland (FWD, ?) ==> (3.5, 5.639)","Foden (MID, ?) ==> (3.3, 5.317)","De Bruyne (MID, ?) ==> (2.7, 4.35)","Rodrigo (MID, ?) ==> (2.35, 3.786)","J.Alvarez (FWD, ?) ==> (2.2, 3.544)"
ARS,10,"Saka (MID, ?) ==> (3.25, 5.056)","Ødegaard (MID, ?) ==> (2.65, 4.122)","White (DEF, ?) ==> (2.45, 3.811)","Havertz (FWD, ?) ==> (2.45, 3.811)","Rice (MID, ?) ==> (2.15, 3.344)"
TOT,8,"Son (MID, ?) ==> (3.05, 4.406)","Richarlison (FWD, ?) ==> (2.2, 3.178)","Maddison (MID, ?) ==> (2.1, 3.033)","Pedro Porro (DEF, ?) ==> (1.95, 2.817)","Johnson (MID, ?) ==> (1.85, 2.672)"
CHE,3,"Palmer (MID, ?) ==> (3.6, 4.2)","N.Jackson (FWD, ?) ==> (2.05, 2.392)","Sterling (MID, ?) ==> (2.0, 2.333)","Sánchez (GKP, ?) ==> (1.85, 2.158)","Gallagher (MID, ?) ==> (1.75, 2.042)"
MUN,3,"B.Fernandes (MID, ?) ==> (2.35, 2.742)","Højlund (FWD, ?) ==> (1.85, 2.158)","Garnacho (MID, ?) ==> (1.8, 2.1)","Onana (GKP, ?) ==> (1.75, 2.042)","Rashford (MID, ?) ==> (1.65, 1.925)"
WHU,1,"Bowen (MID, ?) ==> (2.7, 2.85)","Kudus (MID, ?) ==> (2.1, 2.217)","Ward-Prowse (MID, ?) ==> (1.95, 2.058)","Areola (GKP, ?) ==> (1.85, 1.953)","L.Paquetá (MID, ?) ==> (1.6, 1.689)"
CRY,1,"Eze (MID, ?) ==> (2.5, 2.639)","Mateta (FWD, ?) ==> (2.35, 2.481)","Muñoz (DEF, ?) ==> (1.75, 1.847)","Johnstone (GKP, ?) ==> (1.7, 1.794)","Andersen (DEF, ?) ==> (1.6, 1.689)"
EVE,0,"Pickford (GKP, ?) ==> (2.0, 2.0)","A.Doucoure (MID, ?) ==> (1.8, 1.8)","Mykolenko (DEF, ?) ==> (1.8, 1.8)","Branthwaite (DEF, ?) ==> (1.75, 1.75)","McNeil (MID, ?) ==> (1.75, 1.75)"
BOU,-1,"Travers (GKP, ?) ==> (2.4, 2.267)","Solanke (FWD, ?) ==> (2.3, 2.172)","Neto (GKP, ?) ==> (1.7, 1.606)","Senesi (DEF, ?) ==> (1.65, 1.558)","Semenyo (MID, ?) ==> (1.6, 1.511)"
FUL,-1,"Muniz (FWD, ?) ==> (1.85, 1.747)","Leno (GKP, ?) ==> (1.75, 1.653)","Andreas (MID, ?) ==> (1.7, 1.606)","Iwobi (MID, ?) ==> (1.6, 1.511)","Castagne (DEF, ?) ==> (1.55, 1.464)"
NFO,-2,"Wood (FWD, ?) ==> (2.1, 1.867)","Gibbs-White (MID, ?) ==> (1.9, 1.689)","Hudson-Odoi (MID, ?) ==> (1.9, 1.689)","Awoniyi (FWD, ?) ==> (1.7, 1.511)","Elanga (MID, ?) ==> (1.65, 1.467)"
AVL,-3,"Watkins (FWD, ?) ==> (3.1, 2.583)","Bailey (MID, ?) ==> (2.1, 1.75)","Diaby (MID, ?) ==> (1.85, 1.542)","McGinn (MID, ?) ==> (1.7, 1.417)","Martinez (GKP, ?) ==> (1.7, 1.417)"
BHA,-3,"March (MID, ?) ==> (2.8, 2.333)","Gross (MID, ?) ==> (2.1, 1.75)","Mitoma (MID, ?) ==> (1.95, 1.625)","Hinshelwood (MID, ?) ==> (1.75, 1.458)","João Pedro (FWD, ?) ==> (1.7, 1.417)"
BRE,-7,"Mbeumo (MID, ?) ==> (2.55, 1.558)","Wissa (FWD, ?) ==> (1.95, 1.192)","Toney (FWD, ?) ==> (1.7, 1.039)","Flekken (GKP, ?) ==> (1.6, 0.978)","Jensen (MID, ?) ==> (1.55, 0.947)"
