id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,^fplAdv*xPts,^defAdv*xPts,^attAdv*xPts,^avgAdv*xPts,fplAdv_nxtGWs,defAdv_nxtGWs,attAdv_nxtGWs,#OfMatches_nxtGWs,tot_xPts,gw1Pts,gw2Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
28,Leon,Bailey,MID,AVL,148,?,"Bailey (MID, ?)",4.2,0.0,2.1,1.75,0.0,1.75,1.75,-3,0,-3,2,4.2,0,0,0,0,?
34,Moussa,Diaby,MID,AVL,142,?,"Diaby (MID, ?)",3.7,0.0,1.85,1.5416666666666667,0.0,1.5416666666666667,1.54167,-3,0,-3,2,3.7,0,0,0,0,?
48,John,McGinn,MID,AVL,119,?,"McGinn (MID, ?)",3.4,0.0,1.7,1.4166666666666665,0.0,1.4166666666666665,1.41667,-3,0,-3,2,3.4,0,0,0,0,?
47,Emiliano,Martínez Romero,GKP,AVL,115,?,"Martinez (GKP, ?)",3.4,0.0,1.7,1.4166666666666665,1.4166666666666665,0.0,1.41667,-3,-3,0,2,3.4,0,0,0,0,?
51,Robin,Olsen,GKP,AVL,17,?,"Olsen (GKP, ?)",3.4,0.0,1.7,1.4166666666666665,1.4166666666666665,0.0,1.41667,-3,-3,0,2,3.4,0,0,0,0,?
29,Ross,Barkley,MID,AVL,101,?,"Barkley (MID, ?)",3.2,0.0,1.6,1.3333333333333335,0.0,1.3333333333333335,1.33333,-3,0,-3,2,3.2,0,0,0,0,?
54,Morgan,Rogers,MID,AVL,35,?,"Rogers (MID, ?)",3.2,0.0,1.6,1.3333333333333335,0.0,1.3333333333333335,1.33333,-3,0,-3,2,3.2,0,0,0,0,?
52,Pau,Torres,DEF,AVL,85,?,"Pau (DEF, ?)",2.9,0.0,1.45,1.2083333333333333,1.2083333333333333,0.0,1.20833,-3,-3,0,2,2.9,0,0,0,0,?
27,Cameron,Archer,FWD,AVL,82,?,"Archer (FWD, ?)",2.7,0.0,1.35,1.125,0.0,1.125,1.125,-3,0,-3,2,2.7,0,0,0,0,?
44,Ezri,Konsa Ngoyo,DEF,AVL,91,?,"Konsa (DEF, ?)",2.6,0.0,1.3,1.0833333333333335,1.0833333333333335,0.0,1.08333,-3,-3,0,2,2.6,0,0,0,0,?
36,Lucas,Digne,DEF,AVL,85,?,"Digne (DEF, ?)",2.6,0.0,1.3,1.0833333333333335,1.0833333333333335,0.0,1.08333,-3,-3,0,2,2.6,0,0,0,0,?
33,Leander,Dendoncker,MID,AVL,20,?,"Dendoncker (MID, ?)",2.5,0.0,1.25,1.0416666666666665,0.0,1.0416666666666665,1.04167,-3,0,-3,2,2.5,0,0,0,0,?
57,Youri,Tielemans,MID,AVL,77,?,"Tielemans (MID, ?)",2.4,0.0,1.2,1.0,0.0,1.0,1.0,-3,0,-3,2,2.4,0,0,0,0,?
26,Álex,Moreno Lopera,DEF,AVL,49,?,"Alex Moreno (DEF, ?)",2.3,0.0,1.15,0.9583333333333333,0.9583333333333333,0.0,0.95833,-3,-3,0,2,2.3,0,0,0,0,?
32,Matty,Cash,DEF,AVL,64,?,"Cash (DEF, ?)",2.2,0.0,1.1,0.9166666666666667,0.9166666666666667,0.0,0.91667,-3,-3,0,2,2.2,0,0,0,0,?
38,Jhon,Durán,FWD,AVL,50,?,"Duran (FWD, ?)",2.2,0.0,1.1,0.9166666666666667,0.0,0.9166666666666667,0.91667,-3,0,-3,2,2.2,0,0,0,0,?
35,Diego Carlos,Santos Silva,DEF,AVL,55,?,"Diego Carlos (DEF, ?)",2.0,0.0,1.0,0.8333333333333333,0.8333333333333333,0.0,0.83333,-3,-3,0,2,2.0,0,0,0,0,?
42,Boubacar,Kamara,MID,AVL,40,?,"Kamara (MID, ?)",2.0,0.0,1.0,0.8333333333333333,0.0,0.8333333333333333,0.83333,-3,0,-3,2,2.0,0,0,0,0,?
53,Jacob,Ramsey,MID,AVL,29,?,"Ramsey (MID, ?)",1.8,0.0,0.9,0.75,0.0,0.75,0.75,-3,0,-3,2,1.8,0,0,0,0,?
37,Lewis,Dobbin,MID,AVL,18,?,"Dobbin (MID, ?)",1.5,0.0,0.75,0.625,0.0,0.625,0.625,-3,0,-3,2,1.5,0,0,0,0,?
43,Kaine,Kesler-Hayden,DEF,AVL,3,?,"Kesler-Hayden (DEF, ?)",1.0,0.0,0.5,0.41666666666666663,0.41666666666666663,0.0,0.41667,-3,-3,0,2,1.0,0,0,0,0,?
45,Ian,Maatsen,DEF,AVL,11,?,"Maatsen (DEF, ?)",0.9,0.0,0.45,0.375,0.375,0.0,0.375,-3,-3,0,2,0.9,0,0,0,0,?
30,Enzo,Barrenechea,MID,AVL,0,?,"Barrenechea (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,0,-3,2,0.0,0,0,0,0,?
31,Emiliano,Buendía Stati,MID,AVL,0,?,"Buendia (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,0,-3,2,0.0,0,0,0,0,?
39,Joe,Gauci,GKP,AVL,0,?,"Gauci (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,-3,0,2,0.0,0,0,0,0,?
40,Kortney,Hause,DEF,AVL,0,?,"Hause (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,-3,0,2,0.0,0,0,0,0,?
41,Samuel,Iling-Junior,MID,AVL,0,?,"Iling Jr (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,0,-3,2,0.0,0,0,0,0,?
46,Filip,Marschall,GKP,AVL,0,?,"Marschall (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,-3,0,2,0.0,0,0,0,0,?
49,Tyrone,Mings,DEF,AVL,0,?,"Mings (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,-3,0,2,0.0,0,0,0,0,?
50,Kosta,Nedeljković,DEF,AVL,0,?,"Nedeljkovic (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,-3,0,2,0.0,0,0,0,0,?
55,Viljami,Sinisalo,GKP,AVL,0,?,"Sinisalo (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,-3,0,2,0.0,0,0,0,0,?
56,Lino,da Cruz Sousa,DEF,AVL,0,?,"Sousa (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,-3,0,2,0.0,0,0,0,0,?
132,Solly,March,MID,BHA,39,?,"March (MID, ?)",5.6,0.0,2.8,2.333333333333333,0.0,2.333333333333333,2.33333,-3,0,-3,2,5.6,0,0,0,0,?
125,Pascal,Groß,MID,BHA,153,?,"Gross (MID, ?)",4.2,0.0,2.1,1.75,0.0,1.75,1.75,-3,0,-3,2,4.2,0,0,0,0,?
136,Mitoma,Kaoru,MID,BHA,74,?,"Mitoma (MID, ?)",3.9,0.0,1.95,1.625,0.0,1.625,1.625,-3,0,-3,2,3.9,0,0,0,0,?
126,Jack,Hinshelwood,MID,BHA,42,?,"Hinshelwood (MID, ?)",3.5,0.0,1.75,1.4583333333333333,0.0,1.4583333333333333,1.45833,-3,0,-3,2,3.5,0,0,0,0,?
129,João Pedro,Junqueira de Jesus,FWD,BHA,104,?,"João Pedro (FWD, ?)",3.4,0.0,1.7,1.4166666666666665,0.0,1.4166666666666665,1.41667,-3,0,-3,2,3.4,0,0,0,0,?
146,Bart,Verbruggen,GKP,BHA,68,?,"Verbruggen (GKP, ?)",3.2,0.0,1.6,1.3333333333333335,1.3333333333333335,0.0,1.33333,-3,-3,0,2,3.2,0,0,0,0,?
113,Simon,Adingra,MID,BHA,97,?,"Adingra (MID, ?)",3.1,0.0,1.55,1.2916666666666667,0.0,1.2916666666666667,1.29167,-3,0,-3,2,3.1,0,0,0,0,?
122,Pervis,Estupiñán,DEF,BHA,57,?,"Estupiñan (DEF, ?)",3.0,0.0,1.5,1.25,1.25,0.0,1.25,-3,-3,0,2,3.0,0,0,0,0,?
120,Lewis,Dunk,DEF,BHA,89,?,"Dunk (DEF, ?)",2.7,0.0,1.35,1.125,1.125,0.0,1.125,-3,-3,0,2,2.7,0,0,0,0,?
148,Danny,Welbeck,FWD,BHA,79,?,"Welbeck (FWD, ?)",2.7,0.0,1.35,1.125,0.0,1.125,1.125,-3,0,-3,2,2.7,0,0,0,0,?
123,Evan,Ferguson,FWD,BHA,69,?,"Ferguson (FWD, ?)",2.6,0.0,1.3,1.0833333333333333,0.0,1.0833333333333333,1.08333,-3,0,-3,2,2.6,0,0,0,0,?
