fpl_rank,fpl_tier,team,fpl_pts/match,fpl_form,fpl_xPts,fplAdv_nxtGWs
3,2,LIV,,0.0,,13
4,2,NEW,,0.0,,12
2,1,MCI,,0.0,,11
1,1,ARS,,0.0,,10
5,3,TOT,,0.0,,8
6,3,CHE,,0.0,,3
11,6,MUN,,0.0,,3
8,4,WHU,,0.0,,1
10,5,CRY,,0.0,,1
9,5,EVE,,0.0,,0
12,6,BOU,,0.0,,-1
16,8,FUL,,0.0,,-1
17,9,NFO,,0.0,,-2
7,4,AVL,,0.0,,-3
13,7,BHA,,0.0,,-3
14,7,BRE,,0.0,,-7
18,9,LEI,,0.0,,-7
19,10,SOU,,0.0,,-9
15,8,WOL,,0.0,,-12
20,10,IPS,,0.0,,-17
