team,avgAdv_nxtGWs,#atts,#defs,Player1,Player2,Player3
LIV,8.5,2,1,"Luis Díaz (MID, ^^) ==> (10.75, 10.75)","M.Salah (MID, v) ==> (9.05, 9.05)","Alexander-Arnold (DEF, ^^^) ==> (6.2, 5.85556)"
ARS,4.5,0,3,"Gabriel (DEF, ~) ==> (7.6, 5.91111)","Raya (GKP, v) ==> (5.8, 4.51111)","White (DEF, vv) ==> (3.6, 2.8)"
AVL,3.75,2,1,"Watkins (FWD, ~) ==> (6.8, 4.91111)","Duran (FWD, ~) ==> (5.5, 3.97222)","Digne (DEF, vv) ==> (3.6, 2.5)"
MCI,3.25,3,0,"Haaland (FWD, v) ==> (12.8, 9.24444)","Sávio (MID, ^^^) ==> (3.6, 2.6)","Kovačić (MID, ^^^) ==> (3.35, 2.41944)"
BRE,2.25,3,0,"Mbeumo (MID, ~) ==> (7.4, 4.93333)","Wissa (FWD, vv) ==> (6.0, 4.0)","Lewis-Potter (MID, ^^^) ==> (2.45, 1.63333)"
CRY,2.0,0,3,"Henderson (GKP, ^^^) ==> (4.05, 2.5875)","Mitchell (DEF, ^^^) ==> (3.4, 2.17222)","Lacroix (DEF, ^^^) ==> (3.0, 1.91667)"
CHE,1.5,1,2,"Sánchez (GKP, ^^) ==> (7.5, 4.375)","N.Jackson (FWD, ^^^) ==> (7.35, 4.2875)","Colwill (DEF, ^^^) ==> (3.95, 2.30417)"
BOU,1.5,1,2,"Sinisterra (MID, vv) ==> (3.75, 2.08333)","Arrizabalaga (GKP, ^^^) ==> (2.9, 1.77222)","Smith (DEF, v) ==> (2.15, 1.31389)"
MUN,1.0,0,3,"Onana (GKP, ^^) ==> (6.85, 4.18611)","Dalot (DEF, ^^) ==> (6.4, 3.91111)","De Ligt (DEF, ~) ==> (5.8, 3.54444)"
NFO,0.75,2,1,"Wood (FWD, ^^) ==> (6.05, 3.36111)","Hudson-Odoi (MID, ~) ==> (4.05, 2.25)","Sels (GKP, vv) ==> (4.1, 2.16389)"
FUL,-0.75,2,1,"Smith Rowe (MID, ~) ==> (5.85, 2.7625)","Adama (MID, ~) ==> (4.8, 2.26667)","Robinson (DEF, v) ==> (3.05, 1.35556)"
TOT,-1.0,0,3,"Romero (DEF, vv) ==> (2.95, 1.475)","Pedro Porro (DEF, v) ==> (2.85, 1.425)","Vicario (GKP, ~) ==> (2.4, 1.2)"
BHA,-1.5,1,2,"Welbeck (FWD, ~) ==> (4.75, 1.97917)","Van Hecke (DEF, ~) ==> (3.9, 1.625)","Veltman (DEF, vv) ==> (3.65, 1.52083)"
SOU,-1.5,0,3,"Sugawara (DEF, ~) ==> (2.95, 1.31111)","Ramsdale (GKP, ^) ==> (2.7, 1.2)","Bednarek (DEF, ^^) ==> (1.35, 0.6)"
EVE,-2.0,1,2,"Calvert-Lewin (FWD, vv) ==> (5.75, 2.07639)","Keane (DEF, v) ==> (2.25, 0.9375)","Pickford (GKP, ~) ==> (1.8, 0.75)"
WHU,-2.25,3,0,"Bowen (MID, vv) ==> (4.2, 1.75)","Ings (FWD, vv) ==> (3.6, 1.5)","L.Paquetá (MID, ~) ==> (2.25, 0.9375)"
NEW,-3.25,3,0,"Barnes (MID, ^) ==> (7.8, 2.81667)","Isak (FWD, v) ==> (3.9, 1.40833)","Bruno G. (MID, v) ==> (3.15, 1.1375)"
IPS,-3.75,2,1,"Muric (GKP, v) ==> (4.65, 1.29167)","Morsy (MID, ^^^) ==> (3.5, 1.06944)","Delap (FWD, vv) ==> (2.8, 0.85556)"
LEI,-4.5,1,2,"Mavididi (MID, ^^^) ==> (5.0, 1.11111)","Hermansen (GKP, ^^) ==> (2.1, 0.58333)","Faes (DEF, ~) ==> (1.85, 0.51389)"
WOL,-8.5,3,0,"Mario Jr. (MID, vv) ==> (4.65, 0.25833)","Cunha (FWD, ^^^) ==> (3.9, 0.21667)","Bellegarde (MID, ~) ==> (3.5, 0.19444)"
