att_rank,def_rank,(def-att)_rank,team,att_xPts,def_xPts,(att-def)_xPts,attAdv_nxtGWs,defAdv_nxtGWs,(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,(att-def)Adv_nxtGWs/#OfMatches_nxtGWs,#atts,#defs
14,3,-11,MUN,22.0944,28.3842,-6.2898,-2,2,-4,1,-4.0,0,3
7,10,3,TOT,25.9866,13.2002,12.786399999999999,-2,2,-4,1,-4.0,0,3
12,2,-10,ARS,21.4878,28.3282,-6.840399999999999,3,5,-2,1,-2.0,0,3
18,8,-10,CRY,18.2516,17.083,1.1686000000000014,1,3,-2,1,-2.0,0,3
20,16,-4,SOU,16.4404,9.618,6.8224,-2,0,-2,1,-2.0,0,3
15,15,0,BOU,22.0944,9.4674,12.627,0,2,-2,1,-2.0,1,2
13,19,6,EVE,23.2628,7.146,16.116799999999998,-3,-1,-2,1,-2.0,1,2
11,17,6,LEI,24.3618,7.7034,16.6584,-5,-3,-2,1,-2.0,1,2
3,4,1,CHE,31.9102,20.5706,11.3396,1,1,0,1,0.0,1,2
5,6,1,BHA,29.8024,15.1034,14.698999999999998,-1,-1,0,1,0.0,1,2
19,11,-8,IPS,16.8966,16.6448,0.25179999999999936,-3,-4,1,1,1.0,2,1
10,5,-5,NFO,24.9034,18.4742,6.429200000000002,1,0,1,1,1.0,2,1
6,12,6,FUL,28.8786,11.4944,17.3842,0,-1,1,1,1.0,2,1
4,13,9,AVL,30.1842,12.8966,17.2876,4,3,1,1,1.0,2,1
2,1,-1,LIV,35.045,28.7124,6.332600000000003,9,7,2,1,2.0,2,1
16,20,4,WOL,21.173,6.0966,15.0764,-7,-9,2,1,2.0,3,0
17,14,-3,WHU,18.1102,11.0788,7.0314,0,-3,3,1,3.0,3,0
9,9,0,NEW,26.2382,15.0158,11.222399999999999,-1,-4,3,1,3.0,3,0
1,7,6,MCI,32.0248,14.7866,17.2382,4,1,3,1,3.0,3,0
8,18,10,BRE,27.5932,9.018,18.5752,3,0,3,1,3.0,3,0
