id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,^fplAdv*xPts,^defAdv*xPts,^attAdv*xPts,^avgAdv*xPts,fplAdv_nxtGWs,defAdv_nxtGWs,attAdv_nxtGWs,#OfMatches_nxtGWs,tot_xPts,gw6Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend,(tot_aPts)-(^avgAdv*xPts)
33,Leander,Dendoncker,MID,AVL,0,?,"Dendoncker (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,4,1,0.0,0,0,,~,0.0
34,Moussa,Diaby,MID,AVL,0,?,"Diaby (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,4,1,0.0,0,0,,~,0.0
37,Lewis,Dobbin,MID,AVL,0,?,"Dobbin (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,4,1,0.0,0,0,,~,0.0
39,Joe,Gauci,GKP,AVL,0,?,"Gauci (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,0,1,0.0,0,0,,~,0.0
40,Kortney,Hause,DEF,AVL,0,?,"Hause (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,0,1,0.0,0,0,,~,0.0
41,Samuel,Iling-Junior,MID,AVL,0,?,"Iling Jr (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,4,1,0.0,0,0,,~,0.0
42,Boubacar,Kamara,MID,AVL,0,?,"Kamara (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,4,1,0.0,0,0,,~,0.0
43,Kaine,Kesler-Hayden,DEF,AVL,0,?,"Kesler-Hayden (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,0,1,0.0,0,0,,~,0.0
46,Filip,Marschall,GKP,AVL,0,?,"Marschall (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,0,1,0.0,0,0,,~,0.0
49,Tyrone,Mings,DEF,AVL,0,?,"Mings (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,0,1,0.0,0,0,,~,0.0
51,Robin,Olsen,GKP,AVL,0,?,"Olsen (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,0,1,0.0,0,0,,~,0.0
55,Viljami,Sinisalo,GKP,AVL,0,?,"Sinisalo (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,0,1,0.0,0,0,,~,0.0
56,Lino,da Cruz Sousa,DEF,AVL,0,?,"Sousa (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,0,1,0.0,0,0,,~,0.0
