avg_rank,avg_tier,team,rank_avg,tier_avg,avg_potential,avgAdv_nxtGWs
1,1,LIV,1.25,1.0,1.959184565,8.5
4,2,ARS,5.5,2.75,0.847226725,4.5
7,4,AVL,7.75,4.25,0.4196788975,3.75
3,2,MCI,3.5,2.25,0.974557255,3.25
12,6,BRE,12.5,6.25,-0.28798064999999995,2.25
13,7,CRY,13.0,6.75,-0.49807566,2.0
2,1,CHE,2.75,1.5,1.1392995375,1.5
15,8,BOU,15.0,8.0,-0.6717797325,1.5
6,3,MUN,6.75,3.75,0.5454681675,1.0
8,4,NFO,7.75,4.0,0.31578675500000003,0.75
10,5,FUL,9.5,4.75,0.1844264125,-0.75
9,5,TOT,8.75,4.75,0.2422843,-1.0
5,3,BHA,5.75,3.0,0.5707711074999999,-1.5
19,10,SOU,18.5,9.5,-1.2819018725,-1.5
18,9,EVE,17.0,8.75,-1.1178471275,-2.0
17,9,WHU,16.25,8.5,-0.8909937725,-2.25
11,6,NEW,10.0,5.5,0.149643605,-3.25
16,8,IPS,15.5,8.0,-0.7392720375,-3.75
14,7,LEI,14.0,7.25,-0.55954736,-4.5
20,10,WOL,19.0,9.5,-1.3009291125,-8.5
