def_rank,def_tier,team,def_xPts,avg_GA/match,def_potential,defAdv_nxtGWs
1,1,LIV,28.7124,0.2,1.89175913,7
2,1,ARS,28.3282,0.6,1.62401592,5
8,4,CRY,17.083,1.4,0.15799424,3
13,7,AVL,12.8966,1.4,-0.21383618,3
3,2,MUN,28.3842,1.0,1.39537069,2
10,5,TOT,13.2002,1.0,0.04674824,2
15,8,BOU,9.4674,1.6,-0.63522265,2
4,2,CHE,20.5706,1.0,0.70137725,1
7,4,MCI,14.7866,1.0,0.18765016,1
5,3,NFO,18.4742,0.8,0.63198737,0
16,8,SOU,9.618,1.8,-0.7386561,0
18,9,BRE,9.018,1.8,-0.79194729,0
6,3,BHA,15.1034,0.8,0.33259745,-1
12,6,FUL,11.4944,1.0,-0.10475861,-1
19,10,EVE,7.146,2.8,-1.54226351,-1
14,7,WHU,11.0788,1.8,-0.60890981,-3
17,9,LEI,7.7034,1.6,-0.79189875,-3
9,5,NEW,15.0158,1.2,0.09119785,-4
11,6,IPS,16.6448,1.6,0.00226437,-4
20,10,WOL,6.0966,2.8,-1.6354698,-9
