att_rank,att_tier,team,avg_GF/match,avg_GA/match,avg_CS/match,attAdv_nxtGWs
1,1,MCI,2.63636,0.90909,0.33333,7
3,1,LIV,1.94118,1.23529,0.35294,6
11,3,FUL,1.32353,1.35294,0.23529,4
4,1,BHA,1.9375,1.25,0.34375,3
8,2,MUN,1.48485,1.21212,0.45455,3
6,2,NEW,1.84848,0.81818,0.39394,2
2,1,ARS,2.38235,1.14706,0.35294,1
5,2,TOT,1.85294,1.67647,0.26471,1
7,2,BRE,1.52941,1.29412,0.29412,1
16,4,CHE,0.93939,1.15152,0.30303,1
9,3,AVL,1.35294,1.23529,0.35294,0
10,3,LEI,1.35294,1.73529,0.17647,-1
15,4,CRY,1.02941,1.32353,0.23529,-1
19,5,SOU,0.82353,1.76471,0.11765,-1
12,3,LEE,1.26471,1.97059,0.14706,-3
14,4,BOU,1.05882,1.88235,0.23529,-3
17,5,NFO,0.88235,1.82353,0.20588,-3
13,4,WHU,1.08824,1.47059,0.23529,-4
20,5,EVE,0.79412,1.52941,0.23529,-6
18,5,WOL,0.85294,1.47059,0.29412,-7
