def_rank,def_tier,team,avg_CS/match,avg_GA/match,avg_GF/match,defAdv_nxtGWs
1,1,MUN,0.45455,1.21212,1.48485,7
8,2,CHE,0.30303,1.15152,0.93939,5
7,2,MCI,0.33333,0.90909,2.63636,4
4,1,LIV,0.35294,1.23529,1.94118,3
5,2,AVL,0.35294,1.23529,1.35294,3
2,1,NEW,0.39394,0.81818,1.84848,2
6,2,BHA,0.34375,1.25,1.9375,2
3,1,ARS,0.35294,1.14706,2.38235,1
11,3,TOT,0.26471,1.67647,1.85294,1
12,3,CRY,0.23529,1.32353,1.02941,0
13,4,FUL,0.23529,1.35294,1.32353,0
16,4,BOU,0.23529,1.88235,1.05882,0
9,3,BRE,0.29412,1.29412,1.52941,-1
10,3,WOL,0.29412,1.47059,0.85294,-1
17,5,NFO,0.20588,1.82353,0.88235,-1
20,5,SOU,0.11765,1.76471,0.82353,-2
14,4,WHU,0.23529,1.47059,1.08824,-4
15,4,EVE,0.23529,1.52941,0.79412,-6
18,5,LEI,0.17647,1.73529,1.35294,-6
19,5,LEE,0.14706,1.97059,1.26471,-7
