fpl_rank,fpl_tier,team,avg_pts/match,form,xPts,fplAdv_nxtGWs
1,1,MCI,54.42424,57.800000000000004,55.09939,8
3,1,NEW,51.78788,49.6,51.3503,5
4,1,LIV,48.08824,53.6,49.19059,4
5,2,MUN,47.63636,53.8,48.86909,3
7,2,AVL,42.41176,52.6,44.44941,3
2,1,ARS,57.5,40.2,54.04,1
6,2,BHA,45.875,50.6,46.82,1
12,3,BOU,36.35294,48.0,38.68235,1
13,4,FUL,39.61765,33.0,38.29412,1
8,2,BRE,44.47059,40.0,43.57647,0
11,3,CRY,37.38235,51.6,40.22588,0
16,4,CHE,37.90909,25.3,35.38727,0
9,3,TOT,44.26471,33.6,42.13177,-1
17,5,NFO,35.08824,28.6,33.79059,-1
20,5,SOU,31.79412,27.0,30.8353,-1
10,3,WHU,39.47059,44.5,40.47647,-2
15,4,LEI,37.02941,32.2,36.06353,-3
14,4,WOL,36.47059,44.6,38.09647,-4
18,5,EVE,33.41176,31.0,32.92941,-7
19,5,LEE,34.32353,21.6,31.77882,-8
