team,avgAdv_nxtGWs,#atts,#defs,Player1,Player2,Player3
MCI,6.33,3,0,"Haaland (FWD, ~) ==> (9.133, 68.4975)","De Bruyne (MID, ~) ==> (6.467, 48.5025)","Grealish (MID, v) ==> (4.733, 35.4975)"
LIV,4.33,3,0,"Salah (MID, ~) ==> (6.633, 33.165)","Gakpo (MID, ^^) ==> (4.767, 23.835)","Diogo Jota (FWD, v) ==> (4.4, 22.0)"
MUN,4.33,0,3,"Dalot (DEF, ~) ==> (4.4, 22.0)","De Gea (GKP, ~) ==> (4.267, 21.335)","Wan-Bissaka (DEF, vv) ==> (3.333, 16.665)"
NEW,3.0,1,2,"Wilson (FWD, ^^^) ==> (5.6, 19.6)","Trippier (DEF, v) ==> (4.2, 14.7)","Pope (GKP, v) ==> (4.133, 14.4655)"
AVL,2.0,0,3,"Mings (DEF, ^^^) ==> (4.733, 14.199)","Álex Moreno (DEF, ~) ==> (4.533, 13.599)","Martínez (GKP, ~) ==> (4.2, 12.6)"
BHA,2.0,2,1,"March (MID, v) ==> (4.333, 8.666)","Groß (MID, ~) ==> (4.267, 8.534)","Steele (GKP, ^^^) ==> (5.667, 8.5005)"
CHE,2.0,0,3,"Arrizabalaga (GKP, v) ==> (4.0, 10.0)","Chilwell (DEF, vv) ==> (2.333, 5.8325)","James (DEF, vv) ==> (2.133, 5.3325)"
FUL,1.67,3,0,"Andreas (MID, vv) ==> (3.4, 8.5)","Willian (MID, vv) ==> (3.3, 8.25)","Wilson (MID, ~) ==> (2.733, 6.8325)"
ARS,1.0,2,1,"Ødegaard (MID, ^) ==> (6.333, 6.333)","Martinelli (MID, vv) ==> (5.667, 5.667)","White (DEF, vv) ==> (3.533, 3.533)"
TOT,0.33,2,1,"Kane (FWD, ^) ==> (6.8, 3.32647)","Son (MID, ^^) ==> (5.267, 2.53857)","Perišić (DEF, ~) ==> (2.667, 1.14602)"
BRE,0.0,2,1,"Toney (FWD, ~) ==> (5.333, 2.6665)","Mbeumo (FWD, ~) ==> (3.533, 1.7665)","Raya (GKP, ^) ==> (4.067, -0.12294)"
CRY,-0.33,1,2,"Johnstone (GKP, vv) ==> (4.8, 0.0)","Guéhi (DEF, vv) ==> (3.2, 0.0)","Eze (MID, ~) ==> (5.133, -0.09741)"
BOU,-0.67,0,3,"Neto (GKP, ^) ==> (3.933, 1.9665)","Kelly (DEF, ^^^) ==> (3.0, 1.5)","Viña (DEF, ^^) ==> (2.6, 1.3)"
SOU,-1.33,2,1,"Alcaraz (MID, ~) ==> (3.067, -0.32605)","Ward-Prowse (MID, v) ==> (2.867, -0.3488)","Caleta-Car (DEF, v) ==> (2.0, -0.75)"
NFO,-1.67,1,2,"Gibbs-White (MID, ^) ==> (4.333, -0.46157)","Navas (GKP, ^) ==> (2.133, -0.46882)","Renan Lodi (DEF, ^^^) ==> (1.8, -0.55556)"
WHU,-3.33,1,2,"Bowen (MID, v) ==> (3.867, -0.7758)","Fabianski (GKP, vv) ==> (3.4, -0.88235)","Zouma (DEF, vv) ==> (3.233, -0.92793)"
LEI,-3.33,3,0,"Maddison (MID, ~) ==> (3.933, -0.50852)","Iheanacho (FWD, vv) ==> (3.067, -0.6521)","Vardy (FWD, ^^^) ==> (2.8, -0.71429)"
WOL,-4.0,0,3,"Sá (GKP, ~) ==> (4.133, -0.60489)","Dawson (DEF, ~) ==> (3.333, -0.75008)","Kilman (DEF, ~) ==> (3.267, -0.76523)"
LEE,-6.0,3,0,"Harrison (MID, ^) ==> (3.6, -1.52778)","Rodrigo (MID, v) ==> (3.2, -1.71875)","Bamford (FWD, ^^) ==> (2.933, -1.87521)"
EVE,-6.33,1,2,"Pickford (GKP, ^^) ==> (3.8, -1.71053)","McNeil (MID, ^) ==> (3.733, -1.74123)","Keane (DEF, vv) ==> (2.533, -2.56613)"
