home_attAdv,home_defAdv,home_fplAdv,home_team,away_team,away_fplAdv,away_defAdv,away_attAdv
-2,0,1,BOU,CHE,-1,2,0
4,1,4,MCI,LEE,-4,-4,-1
1,1,0,TOT,CRY,0,-1,-1
-3,0,-2,WOL,AVL,2,3,0
2,1,1,LIV,BRE,-1,-2,-1
-1,0,0,NEW,ARS,0,1,0
-3,-2,-1,WHU,MUN,1,3,2
2,-1,0,FUL,LEI,0,-2,1
3,3,3,BHA,EVE,-3,-3,-3
0,0,0,NFO,SOU,0,0,0
-2,-3,-4,LEE,NEW,4,2,3
0,0,1,AVL,TOT,-1,0,0
1,3,1,CHE,NFO,-1,-1,-3
0,1,0,CRY,BOU,0,0,-1
1,4,2,MUN,WOL,-2,-1,-4
-1,-2,-1,SOU,FUL,1,1,2
2,1,1,BRE,WHU,-1,-2,-1
-3,-3,-4,EVE,MCI,4,3,3
1,0,1,ARS,BHA,-1,-1,0
-2,-4,-3,LEI,LIV,3,2,4
0,0,1,NEW,BHA,-1,0,0
