att_rank,def_rank,diff=(def-att)_rank,team,avg_GF/match,avg_GA/match,(avg_GF/match)-1/(avg_GA/match),attAdv_nxtGWs,defAdv_nxtGWs,delta=(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,delta/#OfMatches_nxtGWs,#atts,#defs
18,10,-8,WOL,0.85294,1.47059,0.1729408159990209,-7,-1,-6,2,-3.0,0,3
16,8,-8,CHE,0.93939,1.15152,0.07097260386272064,1,5,-4,2,-2.0,0,3
8,1,-7,MUN,1.48485,1.21212,0.6598491749991751,3,7,-4,2,-2.0,0,3
9,5,-4,AVL,1.35294,1.23529,0.5434134920544974,0,3,-3,2,-1.5,0,3
14,16,2,BOU,1.05882,1.88235,0.5275691699205781,-3,0,-3,2,-1.5,0,3
17,17,0,NFO,0.88235,1.82353,0.3339630801248129,-3,-1,-2,2,-1.0,1,2
15,12,-3,CRY,1.02941,1.32353,0.27385478024676435,-1,0,-1,2,-0.5,1,2
20,15,-5,EVE,0.79412,1.52941,0.14027309171510582,-6,-6,0,2,0.0,1,2
6,2,-4,NEW,1.84848,0.81818,0.6262550617223592,2,2,0,3,0.0,1,2
13,14,1,WHU,1.08824,1.47059,0.40824081599902096,-4,-4,0,2,0.0,1,2
2,3,1,ARS,2.38235,1.14706,1.5105560223527976,1,1,0,2,0.0,2,1
5,11,6,TOT,1.85294,1.67647,1.2564485626345834,1,1,0,2,0.0,2,1
4,6,2,BHA,1.9375,1.25,1.1375,3,2,1,3,0.33,2,1
19,20,1,SOU,0.82353,1.76471,0.2568646555524704,-1,-2,1,2,0.5,2,1
7,9,2,BRE,1.52941,1.29412,0.7566841322288503,1,-1,2,2,1.0,2,1
3,4,1,LIV,1.94118,1.23529,1.1316534920544972,6,3,3,2,1.5,3,0
1,7,6,MCI,2.63636,0.90909,1.5363588999988997,7,4,3,2,1.5,3,0
11,13,2,FUL,1.32353,1.35294,0.5843989224947154,4,0,4,2,2.0,3,0
12,19,7,LEE,1.26471,1.97059,0.7572477678766258,-3,-7,4,2,2.0,3,0
10,18,8,LEI,1.35294,1.73529,0.776667446132923,-1,-6,5,2,2.5,3,0
