def_rank,def_tier,team,avg_CS/match,avg_GA/match,avg_GF/match,defAdv_nxtGWs
1,1,MUN,0.45714,1.17143,1.45714,8
4,1,ARS,0.36111,1.16667,2.30556,8
2,1,LIV,0.38889,1.16667,1.94444,6
3,1,NEW,0.36111,0.88889,1.86111,5
6,2,BHA,0.34286,1.4,1.91429,3
12,3,CRY,0.25,1.27778,1.02778,2
5,2,MCI,0.34286,0.88571,2.62857,1
15,4,EVE,0.22222,1.55556,0.88889,1
9,3,WOL,0.30556,1.44444,0.83333,0
8,2,BRE,0.30556,1.25,1.5,-1
11,3,TOT,0.27778,1.63889,1.80556,-1
16,4,BOU,0.22222,1.91667,1.02778,-1
7,2,AVL,0.33333,1.22222,1.33333,-2
13,4,FUL,0.25,1.36111,1.44444,-2
14,4,WHU,0.25,1.44444,1.05556,-2
10,3,CHE,0.28571,1.17143,1.02857,-4
18,5,LEI,0.16667,1.86111,1.36111,-4
19,5,LEE,0.13889,1.97222,1.27778,-4
17,5,NFO,0.19444,1.86111,1.0,-5
20,5,SOU,0.11111,1.83333,0.86111,-8
