home_attAdv,home_defAdv,home_fplAdv,home_team,away_team,away_fplAdv,away_defAdv,away_attAdv
0,-1,0,TOT,BRE,0,0,1
-3,-2,-2,BOU,MUN,2,3,2
0,0,0,FUL,CRY,0,0,0
1,2,2,LIV,AVL,-2,-1,-2
-1,2,1,WOL,EVE,-1,1,-2
-4,-4,-3,NFO,ARS,3,4,4
1,-1,2,WHU,LEE,-2,-1,1
4,3,3,BHA,SOU,-3,-4,-3
2,2,3,MCI,CHE,-3,-2,-2
3,2,4,NEW,LEI,-4,-3,-2
1,-1,-1,BHA,MCI,1,-1,1
1,3,2,MUN,CHE,-2,-1,-3
2,4,3,ARS,WOL,-3,-2,-4
-1,-1,-1,AVL,BHA,1,1,1
0,-1,-1,BRE,MCI,1,0,1
-3,-1,-3,CHE,NEW,3,3,1
1,2,1,CRY,NFO,-1,-1,-2
-1,0,-1,EVE,BOU,1,1,0
0,-3,-3,LEE,TOT,3,0,3
1,-1,-2,LEI,WHU,2,-1,1
2,2,1,MUN,FUL,-1,-2,-2
-4,-4,-4,SOU,LIV,4,4,4
