team,attAdv_nxtGWs,attPlayer1,attPlayer2,attPlayer3,attPlayer4,attPlayer5
ARS,6,"Ødegaard (MID, ~) ==> (6.333, 37.998)","Saka (MID, v) ==> (5.067, 30.402)","Martinelli (MID, v) ==> (4.867, 29.202)","Jesus (FWD, v) ==> (4.133, 24.798)","Xhaka (MID, v) ==> (3.8, 22.8)"
BHA,6,"Mac Allister (MID, ~) ==> (4.133, 24.798)","Groß (MID, ~) ==> (4.033, 24.198)","Welbeck (FWD, vv) ==> (3.167, 19.002)","Undav (FWD, ^^^) ==> (3.167, 19.002)","Enciso (FWD, ~) ==> (2.967, 17.802)"
LIV,5,"Salah (MID, ^^) ==> (7.0, 35.0)","Gakpo (MID, ~) ==> (4.3, 21.5)","Jones (MID, ^^^) ==> (3.967, 19.835)","Luis Díaz (MID, v) ==> (3.667, 18.335)","Diogo Jota (FWD, vv) ==> (3.433, 17.165)"
MUN,5,"Rashford (MID, vv) ==> (5.4, 27.0)","Fernandes (MID, ~) ==> (4.8, 24.0)","Sancho (MID, v) ==> (3.467, 17.335)","Antony (MID, ~) ==> (3.133, 15.665)","Martial (FWD, ^) ==> (3.0, 15.0)"
MCI,4,"Haaland (FWD, v) ==> (8.0, 32.0)","De Bruyne (MID, vv) ==> (5.467, 21.868)","Gündogan (MID, ^^^) ==> (5.333, 21.332)","Mahrez (MID, ^^^) ==> (4.8, 19.2)","Foden (MID, ~) ==> (4.2, 16.8)"
NEW,4,"Wilson (FWD, ^) ==> (6.633, 26.532)","Isak (FWD, v) ==> (4.867, 19.468)","Joelinton (MID, v) ==> (3.967, 15.868)","Willock (MID, ~) ==> (3.5, 14.0)","Murphy (MID, vv) ==> (2.733, 10.932)"
TOT,3,"Kane (FWD, ~) ==> (7.133, 21.399)","Son (MID, v) ==> (4.467, 13.401)","Højbjerg (MID, ~) ==> (3.133, 9.399)","Richarlison (FWD, ~) ==> (2.133, 6.399)","Skipp (MID, ~) ==> (1.867, 5.601)"
WHU,2,"Paquetá (MID, v) ==> (3.6, 7.2)","Soucek (MID, v) ==> (3.367, 6.734)","Benrahma (MID, ^^^) ==> (3.133, 6.266)","Antonio (FWD, vv) ==> (2.967, 5.934)","Rice (MID, ~) ==> (2.933, 5.866)"
BRE,1,"Toney (FWD, vv) ==> (5.0, 5.0)","Mbeumo (FWD, ^) ==> (4.067, 4.067)","Jensen (MID, ~) ==> (3.333, 3.333)","Wissa (MID, ^^^) ==> (2.733, 2.733)","Onyeka (MID, ~) ==> (2.133, 2.133)"
LEE,1,"Rodrigo (MID, ^) ==> (3.733, 3.733)","Harrison (MID, v) ==> (3.467, 3.467)","Bamford (FWD, ~) ==> (2.8, 2.8)","Sinisterra (MID, vv) ==> (2.333, 2.333)","McKennie (MID, ~) ==> (1.533, 1.533)"
