att_rank,def_rank,diff=(def-att)_rank,team,avg_GF/match,avg_GA/match,(avg_GF/match)-1/(avg_GA/match),attAdv_nxtGWs,defAdv_nxtGWs,delta=(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,delta/#OfMatches_nxtGWs,#atts,#defs
20,9,-11,WOL,0.83333,1.44444,0.14102017750823848,-5,0,-5,2,-2.5,0,3
18,15,-3,EVE,0.88889,1.55556,0.24603469387230326,-3,1,-4,2,-2.0,0,3
14,10,-4,CHE,1.02857,1.17143,0.17491250446036033,-8,-4,-4,3,-1.33,0,3
8,1,-7,MUN,1.45714,1.17143,0.6034825044603604,5,8,-3,3,-1.0,0,3
16,16,0,BOU,1.02778,1.91667,0.50604177693604,-3,-1,-2,2,-1.0,0,3
2,4,2,ARS,2.30556,1.16667,1.4484195918297376,6,8,-2,2,-1.0,1,2
11,7,-4,AVL,1.33333,1.22222,0.5151466942121713,-3,-2,-1,2,-0.5,1,2
15,12,-3,CRY,1.02778,1.27778,0.24517266540406002,1,2,-1,2,-0.5,1,2
5,3,-2,NEW,1.86111,0.88889,0.7361114062482421,4,5,-1,2,-0.5,1,2
3,2,-1,LIV,1.94444,1.16667,1.0872995918297377,5,6,-1,2,-0.5,1,2
17,17,0,NFO,1.0,1.86111,0.46268624637984856,-6,-5,-1,2,-0.5,2,1
9,13,4,FUL,1.44444,1.36111,0.7097455226983859,-2,-2,0,2,0.0,2,1
19,20,1,SOU,0.86111,1.83333,0.31565446280811416,-7,-8,1,2,0.5,2,1
7,8,1,BRE,1.5,1.25,0.7,1,-1,2,2,1.0,2,1
4,6,2,BHA,1.91429,1.4,1.2000042857142859,6,3,3,3,1.0,2,1
1,5,4,MCI,2.62857,0.88571,1.4995322788497363,4,1,3,3,1.0,3,0
10,18,8,LEI,1.36111,1.86111,0.8237962463798486,-1,-4,3,2,1.5,3,0
13,14,1,WHU,1.05556,1.44444,0.3632501775082385,2,-2,4,2,2.0,3,0
6,11,5,TOT,1.80556,1.63889,1.1953909221485275,3,-1,4,2,2.0,3,0
12,19,7,LEE,1.27778,1.97222,0.7707371751630142,1,-4,5,2,2.5,3,0
