att_rank,att_tier,team,avg_GF/match,avg_GA/match,avg_CS/match,attAdv_nxtGWs
2,1,ARS,2.30556,1.16667,0.36111,6
4,1,BHA,1.91429,1.4,0.34286,6
3,1,LIV,1.94444,1.16667,0.38889,5
8,2,MUN,1.45714,1.17143,0.45714,5
1,1,MCI,2.62857,0.88571,0.34286,4
5,2,NEW,1.86111,0.88889,0.36111,4
6,2,TOT,1.80556,1.63889,0.27778,3
13,4,WHU,1.05556,1.44444,0.25,2
7,2,BRE,1.5,1.25,0.30556,1
12,3,LEE,1.27778,1.97222,0.13889,1
15,4,CRY,1.02778,1.27778,0.25,1
10,3,LEI,1.36111,1.86111,0.16667,-1
9,3,FUL,1.44444,1.36111,0.25,-2
11,3,AVL,1.33333,1.22222,0.33333,-3
16,4,BOU,1.02778,1.91667,0.22222,-3
18,5,EVE,0.88889,1.55556,0.22222,-3
20,5,WOL,0.83333,1.44444,0.30556,-5
17,5,NFO,1.0,1.86111,0.19444,-6
19,5,SOU,0.86111,1.83333,0.11111,-7
14,4,CHE,1.02857,1.17143,0.28571,-8
