id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,fplAdv_nxtGWs,fplAdv*xPts,defAdv_nxtGWs,defAdv*xPts,attAdv_nxtGWs,attAdv*xPts,avgAdv*xPts,#OfMatches_nxtGWs,tot_xPts,gw37Pts,gw38Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
7,Martin,Ødegaard,MID,ARS,207,~,"Ødegaard (MID, ~)",5.9,7.2,6.333,6,37.998000000000005,8,0.0,6,37.998000000000005,37.998000000000005,2,12.666,0,0,0,0,?
13,Bukayo,Saka,MID,ARS,194,v,"Saka (MID, v)",5.4,4.4,5.067,6,30.402,8,0.0,6,30.402,30.402,2,10.134,0,0,0,0,?
19,Gabriel,Martinelli Silva,MID,ARS,198,v,"Martinelli (MID, v)",5.5,3.6,4.867,6,29.201999999999998,8,0.0,6,29.201999999999998,29.201999999999998,2,9.734,0,0,0,0,?
3,Granit,Xhaka,MID,ARS,136,v,"Xhaka (MID, v)",3.9,3.6,3.8,6,22.799999999999997,8,0.0,6,22.799999999999997,22.799999999999997,2,7.6,0,0,0,0,?
15,Aaron,Ramsdale,GKP,ARS,135,^^^,"Ramsdale (GKP, ^^^)",3.8,3.6,3.733,6,22.398,8,29.864,6,0.0,26.131,2,7.466,0,0,0,0,?
28,Gabriel,Fernando de Jesus,FWD,ARS,112,v,"Jesus (FWD, v)",4.7,3.0,4.133,6,24.798000000000002,8,0.0,6,24.798000000000002,24.798000000000002,2,8.266,0,0,0,0,?
10,Benjamin,White,DEF,ARS,148,~,"White (DEF, ~)",4.1,2.6,3.6,6,21.6,8,28.8,6,0.0,25.200000000000003,2,7.2,0,0,0,0,?
16,Gabriel,dos Santos Magalhães,DEF,ARS,139,~,"Gabriel (DEF, ~)",3.9,2.2,3.333,6,19.998,8,26.664,6,0.0,23.331000000000003,2,6.666,0,0,0,0,?
130,Jorge Luiz,Frello Filho,MID,ARS,74,^^,"Jorginho (MID, ^^)",2.5,2.0,2.333,6,13.998000000000001,8,0.0,6,13.998000000000001,13.998000000000001,2,4.666,0,0,0,0,?
111,Leandro,Trossard,MID,ARS,143,v,"Trossard (MID, v)",4.2,1.8,3.4,6,20.4,8,0.0,6,20.4,20.4,2,6.8,0,0,0,0,?
710,Jakub,Kiwior,DEF,ARS,11,^^^,"Kiwior (DEF, ^^^)",2.2,1.8,2.067,6,12.402000000000001,8,16.536,6,0.0,14.469000000000001,2,4.134,0,0,0,0,?
23,Reiss,Nelson,MID,ARS,41,vv,"Nelson (MID, vv)",4.1,1.6,3.267,6,19.602,8,0.0,6,19.602,19.602,2,6.534,0,0,0,0,?
313,Oleksandr,Zinchenko,DEF,ARS,99,~,"Zinchenko (DEF, ~)",3.7,1.6,3.0,6,18.0,8,24.0,6,0.0,21.0,2,6.0,0,0,0,0,?
5,Rob,Holding,DEF,ARS,21,vv,"Holding (DEF, vv)",1.5,1.6,1.533,6,9.198,8,12.264,6,0.0,10.731,2,3.066,0,0,0,0,?
6,Thomas,Partey,MID,ARS,81,vv,"Partey (MID, vv)",2.6,1.0,2.067,6,12.402000000000001,8,0.0,6,12.402000000000001,12.402000000000001,2,4.134,0,0,0,0,?
11,Eddie,Nketiah,FWD,ARS,61,vv,"Nketiah (FWD, vv)",2.2,0.6,1.667,6,10.002,8,0.0,6,10.002,10.002,2,3.334,0,0,0,0,?
8,Kieran,Tierney,DEF,ARS,35,~,"Tierney (DEF, ~)",1.4,0.6,1.133,6,6.798,8,9.064,6,0.0,7.931,2,2.266,0,0,0,0,?
12,Emile,Smith Rowe,MID,ARS,14,v,"Smith Rowe (MID, v)",1.3,0.4,1.0,6,6.0,8,0.0,6,6.0,6.0,2,2.0,0,0,0,0,?
25,Fábio,Ferreira Vieira,MID,ARS,38,vv,"Fábio Vieira (MID, vv)",1.9,0.2,1.333,6,7.997999999999999,8,0.0,6,7.997999999999999,7.997999999999999,2,2.666,0,0,0,0,?
26,William,Saliba,DEF,ARS,117,?,"Saliba (DEF, ?)",4.3,0.0,0.0,6,0.0,8,0.0,6,0.0,0.0,2,0.0,0,0,0,0,?
14,Takehiro,Tomiyasu,DEF,ARS,32,?,"Tomiyasu (DEF, ?)",1.5,0.0,0.0,6,0.0,8,0.0,6,0.0,0.0,2,0.0,0,0,0,0,?
4,Mohamed,Elneny,MID,ARS,6,?,"Elneny (MID, ?)",1.2,0.0,0.0,6,0.0,8,0.0,6,0.0,0.0,2,0.0,0,0,0,0,?
27,Marcus,Oliveira Alencar,MID,ARS,1,?,"Marquinhos (MID, ?)",1.0,0.0,0.0,6,0.0,8,0.0,6,0.0,0.0,2,0.0,0,0,0,0,?
