id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,^fplAdv*xPts,^defAdv*xPts,^attAdv*xPts,^avgAdv*xPts,fplAdv_nxtGWs,defAdv_nxtGWs,attAdv_nxtGWs,#OfMatches_nxtGWs,tot_xPts,gw4Pts,gw5Pts,gw6Pts,gw7Pts,gw8Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend,(tot_aPts)-(^avgAdv*xPts)
409,Tino,Livramento,DEF,NEW,10,?,"Livramento (DEF, ?)",3.3,3.3,3.3,11.0,10.45,0.0,10.725,15,12,0,5,16.5,2,1,1,1,2,7,0,3↓,-3.7249999999999996
399,Lewis,Hall,DEF,NEW,7,?,"Hall (DEF, ?)",2.3,2.3,2.3,7.666666666666666,7.283333333333333,0.0,7.475,15,12,0,5,11.5,2,1,2,5,1,11,0,3↑,3.5250000000000004
404,Lloyd,Kelly,DEF,NEW,7,?,"Kelly (DEF, ?)",2.3,2.3,2.3,7.666666666666666,7.283333333333333,0.0,7.475,15,12,0,5,11.5,1,0,0,0,0,1,0,4↓,-6.475
394,Bruno,Guimarães Rodriguez Moura,MID,NEW,6,?,"Bruno G. (MID, ?)",2.0,2.0,2.0,6.666666666666666,0.0,5.444444444444445,6.05556,15,0,4,5,10.0,7,2,1,3,2,15,0,5↑,8.94444
395,Dan,Burn,DEF,NEW,6,?,"Burn (DEF, ?)",2.0,2.0,2.0,6.666666666666666,6.333333333333334,0.0,6.5,15,12,0,5,10.0,1,1,2,8,1,13,0,4↑,6.5
402,Jacob,Murphy,MID,NEW,6,?,"J.Murphy (MID, ?)",2.0,2.0,2.0,6.666666666666666,0.0,5.444444444444445,6.05556,15,0,4,5,10.0,1,4,2,3,2,12,0,4↑,5.94444
410,Sean,Longstaff,MID,NEW,6,?,"Longstaff (MID, ?)",2.0,2.0,2.0,6.666666666666666,0.0,5.444444444444445,6.05556,15,0,4,5,10.0,1,0,1,1,1,4,0,2↓,-2.05556
391,Miguel,Almirón Rejala,MID,NEW,2,?,"Almirón (MID, ?)",1.0,0.7,0.85,2.833333333333333,0.0,2.3138888888888887,2.57361,15,0,4,5,4.25,0,0,0,1,1,2,0,~,-0.57361
417,Sandro,Tonali,MID,NEW,1,?,"Tonali (MID, ?)",1.0,0.3,0.65,2.1666666666666665,0.0,1.7694444444444444,1.96806,15,0,4,5,3.25,1,1,1,3,2,8,0,4↑,6.0319400000000005
418,Kieran,Trippier,DEF,NEW,1,?,"Trippier (DEF, ?)",1.0,0.3,0.65,2.1666666666666665,2.0583333333333336,0.0,2.1125,15,12,0,5,3.25,1,1,2,8,0,12,0,5↑,9.8875
420,Joe,Willock,MID,NEW,1,?,"Willock (MID, ?)",1.0,0.3,0.65,2.1666666666666665,0.0,1.7694444444444444,1.96806,15,0,4,5,3.25,4,1,1,1,1,8,0,4↑,6.0319400000000005
390,Alex,Murphy,DEF,NEW,0,?,"A.Murphy (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,12,0,5,0.0,0,0,0,0,0,0,0,~,0.0
393,Sven,Botman,DEF,NEW,0,?,"Botman (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,12,0,5,0.0,0,0,0,0,0,0,0,~,0.0
396,Martin,Dúbravka,GKP,NEW,0,?,"Dúbravka (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,12,0,5,0.0,0,0,0,0,0,0,0,~,0.0
400,Isaac,Hayden,MID,NEW,0,?,"Hayden (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,4,5,0.0,0,0,0,0,0,0,0,~,0.0
406,Garang,Kuol,MID,NEW,0,?,"Kuol (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,4,5,0.0,0,0,0,0,0,0,0,~,0.0
407,Jamaal,Lascelles,DEF,NEW,0,?,"Lascelles (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,12,0,5,0.0,0,0,0,0,0,0,0,~,0.0
408,Jamal,Lewis,DEF,NEW,0,?,"Lewis (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,12,0,5,0.0,0,0,0,0,0,0,0,~,0.0
411,Lewis,Miley,MID,NEW,0,?,"Miley (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,4,5,0.0,0,0,0,0,0,0,0,~,0.0
412,Odysseas,Vlachodimos,GKP,NEW,0,?,"Odysseas (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,12,0,5,0.0,0,0,0,0,0,0,0,~,0.0
414,John,Ruddy,GKP,NEW,0,?,"Ruddy (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,12,0,5,0.0,0,0,0,0,0,0,0,~,0.0
416,Matt,Targett,DEF,NEW,0,?,"Targett (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,12,0,5,0.0,0,0,0,0,0,0,0,~,0.0
419,Joe,White,MID,NEW,0,?,"White (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,4,5,0.0,0,0,0,0,0,0,0,~,0.0
421,Callum,Wilson,FWD,NEW,0,?,"Wilson (FWD, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,4,5,0.0,0,0,0,0,0,0,0,~,0.0
574,Miodrag,Pivaš,DEF,NEW,0,?,"Pivas (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,12,0,5,0.0,0,0,0,0,0,0,0,~,0.0
590,William,Osula,FWD,NEW,0,?,"Osula (FWD, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,4,5,0.0,0,1,0,0,1,2,0,2↑,2.0
415,Fabian,Schär,DEF,NEW,-2,?,"Schär (DEF, ?)",-2.0,-0.7,-1.35,-4.5,-4.275,0.0,-4.3875,15,12,0,5,-6.75,8,1,1,5,2,17,0,7↑,21.3875
447,Chris,Wood,FWD,NFO,19,?,"Wood (FWD, ?)",6.3,6.3,6.3,17.5,0.0,13.999999999999998,15.75,5,0,-5,5,31.5,2,8,2,8,7,27,0,6↑,11.25
433,Morgan,Gibbs-White,MID,NFO,13,?,"Gibbs-White (MID, ?)",4.3,4.3,4.3,11.944444444444445,0.0,9.555555555555555,10.75,5,0,-5,5,21.5,3,-1,0,2,0,4,0,4↓,-6.75
422,Ola,Aina,DEF,NFO,12,?,"Aina (DEF, ?)",4.0,4.0,4.0,11.11111111111111,12.666666666666668,0.0,11.88889,5,12,0,5,20.0,8,0,2,2,6,18,0,4↑,6.11111
436,Murillo,Santiago Costa dos Santos,DEF,NFO,11,?,"Murillo (DEF, ?)",3.7,3.7,3.7,10.27777777777778,11.716666666666663,0.0,10.99722,5,12,0,5,18.5,6,1,1,2,8,18,0,5↑,7.00278
443,Matz,Sels,GKP,NFO,11,?,"Sels (GKP, ?)",3.7,3.7,3.7,10.27777777777778,11.716666666666663,0.0,10.99722,5,12,0,5,18.5,9,1,2,3,11,26,0,6↑,15.00278
423,Elliot,Anderson,MID,NFO,10,?,"Anderson (MID, ?)",3.3,3.3,3.3,9.166666666666664,0.0,7.333333333333333,8.25,5,0,-5,5,16.5,3,1,1,2,2,9,0,~,0.75
437,Neco,Williams,DEF,NFO,9,?,"N.Williams (DEF, ?)",3.0,3.0,3.0,8.333333333333334,9.5,0.0,8.91667,5,12,0,5,15.0,1,0,1,0,1,3,0,4↓,-5.91667
449,Ryan,Yates,MID,NFO,9,?,"Yates (MID, ?)",3.0,3.0,3.0,8.333333333333334,0.0,6.666666666666666,7.5,5,0,-5,5,15.0,2,1,1,2,3,9,0,1↑,1.5
573,Nikola,Milenković,DEF,NFO,8,?,"Milenković (DEF, ?)",4.0,2.7,3.35,9.305555555555555,10.608333333333333,0.0,9.95694,5,12,0,5,16.75,6,1,2,5,6,20,0,5↑,10.04306
