def_rank,def_tier,team,def_xPts,avg_GA/match,^def_xPts/avg_GA/match,defAdv_nxtGWs
1,1,LIV,32.3588,0.0,inf,25
2,1,ARS,28.7176,0.33333,2.66245,20
3,2,MCI,18.6412,0.66667,0.86411,17
4,2,NFO,18.3588,0.66667,0.85102,12
5,3,NEW,18.2442,0.66667,0.84571,12
11,6,AVL,12.3588,1.33333,0.28645,11
6,3,BHA,15.2824,0.66667,0.70842,10
10,5,MUN,16.3588,1.66667,0.30333,6
7,4,TOT,21.6794,1.0,0.66997,3
8,4,FUL,13.0,1.0,0.40175,3
9,5,WHU,17.3206,1.66667,0.32116,-1
13,7,SOU,11.6412,1.66667,0.21585,-3
16,8,LEI,8.3206,1.66667,0.15428,-3
12,6,BRE,11.2824,1.33333,0.2615,-4
15,8,CRY,8.6412,1.66667,0.16023,-9
14,7,BOU,8.3206,1.33333,0.19285,-11
18,9,IPS,8.3588,2.33333,0.11071,-13
20,10,EVE,4.603,3.33333,0.04267,-14
17,9,CHE,6.3206,1.66667,0.1172,-26
19,10,WOL,6.2824,3.0,0.06472,-35
