avg_rank,avg_tier,team,rank_avg,tier_avg,avg_potential_avg,med_potential_avg,avgAdv_nxtGWs
9,5,MUN,7.75,4.0,-0.08684121160793709,0.27406875140916787,5.75
8,4,NEW,7.25,4.0,0.4061209403374026,0.2870058186787646,5.5
7,4,BHA,7.5,4.0,0.3107683233605769,0.35187050288984,4.75
2,1,MCI,2.75,1.5,1.1662541753303175,1.1137044762886863,4.25
6,3,EVE,6.75,3.5,0.18907621940258407,0.37146091677783344,4.25
3,2,CHE,4.75,2.5,0.9032272129359908,0.8460376831447425,4.0
11,6,TOT,10.75,5.75,0.037946826529406355,-0.10907286841642513,2.25
13,7,LIV,12.75,6.75,-0.16690651738059353,-0.2487643964858766,1.75
1,1,ARS,1.5,1.0,1.6396602772242193,1.702800917742768,1.5
5,3,CRY,7.5,4.25,0.851827881413748,0.6810717581219192,1.5
4,2,AVL,4.25,2.5,0.8320046889204668,0.8212212110346415,-1.5
12,6,FUL,11.25,5.75,-0.13514747200438865,-0.14709302469980307,-1.5
18,9,LEE,17.0,8.5,-0.6666021633744101,-0.8658160264303678,-1.75
16,8,BRE,15.5,8.0,-0.24922912996943025,-0.5868563534371765,-2.25
14,7,BOU,12.75,6.5,-0.4924069194108952,-0.24949342877543362,-4.0
10,5,SUN,10.75,5.75,0.09891814388839494,-0.01804292109544929,-4.25
15,8,NFO,15.0,7.75,-0.30613021689366493,-0.45071569913709586,-4.25
17,9,WHU,16.75,8.75,-0.9808117005119154,-0.8415926403117723,-4.75
19,10,BUR,18.0,9.5,-1.1246531292198674,-1.1115021399168548,-5.5
20,10,WOL,19.5,9.75,-2.227076228973824,-1.8202925373871617,-5.75
