def_rank,def_tier,team,def_avg_xPts,def_med_xPts,avg_GA/match,med_GA/match,def_avg_potential,def_med_potential,defAdv_nxtGWs
4,2,EVE,22.57733088897418,20.80243918562673,1.2142857142857142,1.0,0.5696606565530928,0.581093831690942,7
8,4,MUN,17.536944351919594,16.072949016875157,1.5,1.0,-0.2606517976457526,0.13701521763466679,6
6,3,MCI,20.89824725116039,17.354101966249683,1.1428571428571428,1.0,0.44508771182050955,0.25730992295193955,5
7,4,BHA,18.518783738081247,16.409830056250524,1.4285714285714286,1.0,-0.08451899567401985,0.16864688610755402,5
1,1,CRY,36.202565810715186,37.1393202250021,0.7857142857142857,0.5,2.5004842424518294,2.4483798439551414,4
11,6,FUL,15.719786737589503,13.218847050625474,1.5714285714285714,1.0,-0.5311822914286487,-0.13097257815633076,4
3,2,CHE,25.381966011250107,26.02786404500042,1.0714285714285714,1.0,1.016961105511652,1.0717385622218238,3
10,5,NEW,20.95053315602624,15.5,1.2857142857142858,1.0,0.32064236352247666,0.0832177899506832,3
2,1,ARS,23.33531822816844,24.905764746872634,0.5,0.0,1.3070897193393725,1.6330257832048158,2
12,6,NFO,19.642139285894192,14.465558146251368,1.5714285714285714,1.5,-0.0879248423165207,-0.3472355526758454,0
13,7,TOT,15.878523826115115,10.281152949374526,1.2857142857142858,1.0,-0.25253556726161813,-0.4068093128684519,0
5,3,AVL,22.91797067620567,18.937694101250948,1.0,1.0,0.8036868132067065,0.4060023560545848,-2
15,8,LIV,17.800876374419804,14.072949016875159,1.5,2.0,-0.23082535201138976,-0.717423586243361,-2
14,7,BOU,14.701942686472288,11.753288904374106,1.7142857142857142,1.5,-0.7765609491815586,-0.6019058708057907,-3
20,10,LEE,14.05228590486585,9.73606797749979,1.8571428571428572,2.0,-0.9803314781695007,-1.1246379058813933,-3
9,5,SUN,19.355981340177745,15.927050983124841,1.0,1.0,0.4011533113343452,0.12331602505644076,-4
18,9,WOL,12.33876041330343,12.427050983124843,2.0714285714285716,2.0,-1.3695047838109735,-0.871966273009289,-5
16,8,WHU,14.873825391294961,13.29179606750063,2.0,2.0,-1.0178449721566896,-0.7907704601688533,-6
17,9,BRE,15.73606797749979,13.0,1.5714285714285714,2.0,-0.5293423801037327,-0.8181688453253053,-7
19,10,BUR,12.876644452187053,10.0,2.0,2.0,-1.2435425140186782,-1.099855833694529,-7
